Id,Label,timeset,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,number hashtags,tweet number,retweet number,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree
770,770,,other,27739,5271,262,31070,57,5,170,30,7,0,5,0.36742,0.419202,0,0,23,23,0,0,0,23,23
779,779,,other,124316,39991,5786,74791,610,78,134,66,18,0,6,0.290503,0.32735,0,0,12,12,0,0,0,12,12
792,792,,other,184,208181,168,3,1088,71,182,2,8,0,1,1,1,0,0,2,2,0,0,0,2,2
830,830,,other,99723,12172,9724,23624,75,40,187,13,18,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
850,850,,other,12929,519691,653,799,547,82,43,157,11,0,1,1,1,0,0,2,2,0,0,0,2,2
872,872,,other,125658,130422,442,9,5358,11,173,27,5,0,1,1,1,0,0,1,1,0,0,0,1,1
880,880,,other,1779,238932,82,9,325,0,197,3,4,0,1,1,1,0,0,1,1,0,0,0,1,1
884,884,,other,158,4188,98,1127,19,0,153,5,4,0,1,1,1,0,0,1,1,0,0,0,1,1
888,888,,other,65414,25768,2550,42604,512,22,140,60,5,0,1,1,1,0,0,2,2,0,0,0,2,2
895,895,,hateful,22492,4227,13,2,101,4,183,17,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
904,904,,other,83485,24687,1766,7846,329,9,189,11,10,0,6,0.320248,0.358871,0,0,12,12,0,0,0,12,12
912,912,,other,3516,5913,3434,26688,95,3,113,86,20,0,1,1,1,0,0,1,1,0,0,0,1,1
916,916,,other,106871,12821,12320,119542,85,150,32,168,0,0,1,1,1,0,0,1,1,0,0,0,1,1
940,940,,other,45895,1612,264,32991,31,5,143,57,20,0,1,1,1,0,0,3,3,0,0,0,3,3
963,963,,other,164340,18280,1772,186791,270,3,13,187,12,0,1,1,1,0,0,1,1,0,0,0,1,1
995,995,,other,23724,102587,3168,17159,1125,308,131,69,7,0,6,0.25511,0.285951,0,0,10,10,0,0,0,10,10
1003,1003,,other,1260,522,180,1346,2,2,144,53,9,0,6,0.363958,0.415965,0,0,18,18,0,0,0,18,18
1008,1008,,other,48900,86169,113,98,1543,27,156,44,0,0,8,0.200777,0.220334,0,0,4,4,0,0,0,4,4
1060,1060,,other,377933,26850,17064,23973,282,19,197,3,4,0,1,1,1,0,0,1,1,0,0,0,1,1
1080,1080,,other,64093,54012,7611,14618,1001,37,190,10,10,0,1,1,1,0,0,1,1,0,0,0,1,1
1139,1139,,other,6468,1241,414,4044,10,125,81,119,18,0,1,1,1,0,0,1,1,0,0,0,1,1
1163,1163,,other,22294,31764,6605,22977,264,86,62,136,9,0,5,0.378213,0.42891,0,0,21,21,0,0,0,21,21
1202,1202,,other,1104,122507,12,7,1912,0,200,0,18,0,7,0.209743,0.224363,0,0,2,2,0,0,0,2,2
1224,1224,,other,328804,223693,390,3,9648,92,156,44,11,0,1,1,1,0,0,2,2,0,0,0,2,2
1225,1225,,other,10878,2990,186,65913,29,1,132,67,9,0,6,0.326617,0.367749,0,0,12,12,0,0,0,12,12
1227,1227,,other,68793,11268,7016,7124,364,10,109,91,8,0,1,1,1,0,0,1,1,0,0,0,1,1
1236,1236,,other,2687,4748668,9,4,5764,71,137,63,18,0,7,0.23454,0.262885,0,0,8,8,0,0,0,8,8
1292,1292,,other,126125,15896,10562,22210,250,6,87,111,4,0,1,1,1,0,0,1,1,0,0,0,1,1
1314,1314,,normal,96891,25642,25167,13114,330,52,174,26,0,0,4,0.416667,0.516667,0,0,1,1,0,0.000007,0,1,1
1316,1316,,other,18657,6994,351,1748,105,10,180,20,4,0,1,1,1,0,0,3,3,0,0,0,3,3
1324,1324,,other,8290,2279,393,3111,55,8,56,141,5,0,1,1,1,0,0,2,2,0,0,0,2,2
1368,1368,,normal,8586,747,785,15360,9,81,166,34,11,0,1,1,1,0,0,1,1,0,0.000012,0,1,1
1371,1371,,other,44071,1216462,385,6841,5720,16,169,31,4,0,1,1,1,0,0,1,1,0,0,0,1,1
1403,1403,,other,129138,15879,17444,80504,212,102,14,186,18,0,9,0.166399,0.176749,0,0,1,1,0,0,0,1,1
1405,1405,,other,3393,2785,111,721,49,14,119,81,5,0,1,1,1,0,0,1,1,0,0,0,1,1
1422,1422,,other,24233,658265,5301,657,4522,68,69,131,0,0,5,0.345339,0.395552,0,0,24,24,0,0,0,24,24
1487,1487,,other,20312,10087,347,12557,78,1,188,12,11,0,1,1,1,0,0,2,2,0,0,0,2,2
1506,1506,,other,15656,130010,1602,4375,3664,238,119,81,8,0,1,1,1,0,0,1,1,0,0,0,1,1
1508,1508,,other,6929,610896,453,2836,17150,10,196,4,5,0,1,1,1,0,0,1,1,0,0,0,1,1
1572,1572,,other,15580,37663,6,3119,690,88,132,68,10,0,1,1,1,0,0,1,1,0,0,0,1,1
1613,1613,,other,39868,3202,1049,15366,33,3,172,27,1,0,7,0.215782,0.224087,0,0,1,1,0,0,0,1,1
1616,1616,,other,67572,1047,281,6119,56,10,135,65,5,0,1,1,1,0,0,1,1,0,0,0,1,1
1627,1627,,other,233953,51688,23889,180837,312,277,4,196,18,0,9,0.16729,0.18201,0,0,3,3,0,0,0,3,3
1656,1656,,other,7735,16830,3752,9268,263,105,139,61,2,0,6,0.29084,0.310714,0,0,4,4,0,0,0,4,4
1668,1668,,other,306506,127847,3471,655,2968,24,113,87,9,0,6,0.329461,0.379541,0,0,16,16,0,0,0,16,16
1669,1669,,other,115518,84702,3433,1716,2306,7,149,51,18,0,8,0.199355,0.215218,0,0,2,2,0,0,0,2,2
1679,1679,,hateful,1771,362,110,1397,0,25,131,65,9,0.004046,6,0.276328,0.301086,441.106656,6,5,11,0.009545,0.009626,6,5,11
1703,1703,,other,85528,19882,1309,89468,269,161,49,151,18,0,6,0.288603,0.320754,0,0,9,9,0,0,0,9,9
1718,1718,,other,21999,410078,64,5509,583,8,196,4,4,0,1,1,1,0,0,1,1,0,0,0,1,1
1745,1745,,other,48192,7194,1991,20570,59,146,108,92,18,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
1767,1767,,other,625,16887,155,131,112,112,177,23,9,0,6,0.273451,0.300593,0,0,8,8,0,0,0,8,8
1771,1771,,other,21528,2120,1154,25141,85,31,191,9,0,0,1,1,1,0,0,1,1,0,0,0,1,1
1782,1782,,normal,681,1364,3680,34,21,52,155,45,0,0,1,1,1,0,0,1,1,0,0.000006,0,1,1
1800,1800,,other,19810,86275,60927,3841,215,146,200,0,4,0,1,1,1,0,0,1,1,0,0,0,1,1
1802,1802,,other,26937,6183,129,68,81,6,106,94,4,0,1,1,1,0,0,2,2,0,0,0,2,2
1860,1860,,other,7427,24260,24809,26039,89,11,180,20,8,0,1,1,1,0,0,1,1,0,0,0,1,1
1869,1869,,other,56049,217112,830,46190,2288,18,144,56,18,0,6,0.347357,0.415062,0,0,34,34,0,0,0,34,34
1903,1903,,other,41737,4466,4728,1618,83,114,73,127,18,0,8,0.184854,0.195949,0,0,2,2,0,0,0,2,2
1907,1907,,other,5929,1001,581,1409,41,32,31,168,5,0,1,1,1,0,0,1,1,0,0,0,1,1
1988,1988,,other,69631,5695,136,11138,141,12,117,83,7,0,6,0.297585,0.317262,0,0,5,5,0,0,0,5,5
1989,1989,,other,1809,1187,342,367,34,110,96,104,0,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
1992,1992,,other,15007,53125,804,25268,732,0,193,7,5,0,1,1,1,0,0,1,1,0,0,0,1,1
1998,1998,,other,169,12813484,489,7088,11269,6,132,20,9,0,6,0.289055,0.323193,0,0,10,10,0,0,0,10,10
2016,2016,,other,1285,12118,111,88,112,17,184,16,4,0,1,1,1,0,0,2,2,0,0,0,2,2
2038,2038,,hateful,90492,3151,853,7058,20,5,132,59,4,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
2047,2047,,other,6692,13925,7312,1271,159,98,170,30,18,0,6,0.27305,0.297944,0,0,7,7,0,0,0,7,7
2048,2048,,normal,90,11,50,524,0,2,59,9,7,0,5,0.326617,0.346483,0,0,1,1,0,0.001501,0,1,1
2057,2057,,hateful,100,68,89,1101,0,23,48,49,9,0.00069,6,0.271681,0.293377,1.495674,2,1,3,0.008932,0.002732,2,1,3
2062,2062,,other,59463,235424,3587,61231,2468,11,147,53,9,0,7,0.235294,0.261035,0,0,7,7,0,0,0,7,7
2149,2149,,other,3742,28768,1299,185,297,7,199,1,18,0,8,0.188071,0.198332,0,0,1,1,0,0,0,1,1
2161,2161,,other,60099,24406,134,2028,196,50,172,28,8,0,1,1,1,0,0,1,1,0,0,0,1,1
2224,2224,,other,12868,489,307,429,18,22,158,42,4,0,1,1,1,0,0,2,2,0,0,0,2,2
2227,2227,,normal,127090,557603,2148,7926,4454,3,185,15,8,0,5,0.329787,0.353226,0,0,3,3,0,0.004599,0,3,3
2235,2235,,other,5038,166124,162116,5440,1282,1,184,10,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2238,2238,,other,51833,33701,3896,100500,175,41,175,25,8,0,1,1,1,0,0,2,2,0,0,0,2,2
2243,2243,,normal,882,238,245,1261,3,9,151,45,9,0,6,0.293893,0.322348,0,0,4,4,0,0.010419,0,4,4
2258,2258,,other,8552,72564582,128701,1607,226143,174,165,35,5,0,1,1,1,0,0,2,2,0,0,0,2,2
2300,2300,,other,230410,4655,1859,2984,118,6,184,16,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2335,2335,,other,3753,23887069,1,628,45239,95,176,24,4,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
2344,2344,,other,4504,7634,4848,554,14,221,2,198,18,0,2,0.7,0.785714,0,0,4,4,0,0,0,4,4
2404,2404,,other,28869,155937,284,18563,3181,223,183,17,18,0,8,0.188071,0.198332,0,0,1,1,0,0,0,1,1
2413,2413,,other,21454,7962,2302,36377,69,10,153,47,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2434,2434,,other,258587,18505,16891,243053,212,123,28,172,18,0,1,1,1,0,0,1,1,0,0,0,1,1
2447,2447,,other,2389,4923,644,5,125,98,137,63,0,0,1,1,1,0,0,1,1,0,0,0,1,1
2454,2454,,other,122122,2368,957,15473,105,12,140,59,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2470,2470,,other,34456,277081,976,297,5852,17,91,109,7,0,1,1,1,0,0,1,1,0,0,0,1,1
2483,2483,,other,13150,32195,1,1,449,0,200,0,9,0,7,0.280766,0.298083,0,0,1,1,0,0,0,1,1
2488,2488,,other,13573,228960,543,7041,825,42,78,122,18,0,1,1,1,0,0,1,1,0,0,0,1,1
2491,2491,,other,9196,1035006,277,70,3120,102,180,20,4,0,1,1,1,0,0,2,2,0,0,0,2,2
2494,2494,,other,29838,753,589,403,58,13,149,51,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2495,2495,,other,6017,11977,608,4312,56,185,99,101,20,0,1,1,1,0,0,1,1,0,0,0,1,1
2501,2501,,other,97072,2179,578,48779,29,4,178,22,20,0,1,1,1,0,0,1,1,0,0,0,1,1
2516,2516,,hateful,2267,30887,170,2,291,19,138,61,9,0.00073,5,0.374847,0.426384,521.766419,6,22,28,0.034542,0.05912,6,22,28
2555,2555,,normal,46089,17049,8955,31358,389,21,171,29,7,0,7,0.234577,0.2484,0,0,1,1,0,0.000095,0,1,1
2587,2587,,other,494,940,251,0,18,25,124,76,8,0,1,1,1,0,0,1,1,0,0,0,1,1
2595,2595,,other,180568,24447,22840,22741,237,5,191,9,8,0,1,1,1,0,0,1,1,0,0,0,1,1
2604,2604,,other,2015,15409,657,6012,82,7,171,28,10,0,8,0.195308,0.205191,0,0,1,1,0,0,0,1,1
2605,2605,,other,2331,7256,7796,339,18,68,163,37,18,0,8,0.211268,0.330794,0,0,2,2,0,0,0,2,2
2608,2608,,hateful,4541,235,112,2829,4,88,90,108,0,0.00065,0,0,0,0,4,0,4,0.027026,0,4,0,4
2644,2644,,normal,399,40,25,1443,1,55,56,143,0,0,5,0.320755,0.390196,0,0,1,1,0,0.000619,0,1,1
2655,2655,,other,298732,3332,2318,934,95,19,66,133,4,0,1,1,1,0,0,2,2,0,0,0,2,2
2699,2699,,other,112,7,12,98,0,4,49,62,7,0,7,0.234577,0.245315,0,0,1,1,0,0,0,1,1
2750,2750,,other,15551,33217,291,387,55,11,103,96,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2752,2752,,other,12877,3013,937,7776,100,15,173,27,9,0,7,0.217514,0.228904,0,0,1,1,0,0,0,1,1
2760,2760,,other,39632,17964,770,13166,379,23,115,85,5,0,1,1,1,0,0,1,1,0,0,0,1,1
2761,2761,,other,137028,148325,3392,34804,3930,32,97,103,5,0,1,1,1,0,0,1,1,0,0,0,1,1
2770,2770,,other,231023,103922,1752,592,1971,8,136,64,7,0,6,0.330481,0.364078,0,0,9,9,0,0,0,9,9
2794,2794,,other,16158,18748,570,3385,294,12,108,90,9,0,5,0.401565,0.45276,0,0,22,22,0,0,0,22,22
2806,2806,,other,144661,11915,6089,297,29,73,46,154,18,0,1,1,1,0,0,2,2,0,0,0,2,2
2807,2807,,other,3828,183088,90503,8010,345,3,199,0,4,0,1,1,1,0,0,1,1,0,0,0,1,1
2809,2809,,other,20807,218302,133,540,5363,2,184,16,9,0,6,0.285185,0.304437,0,0,1,1,0,0,0,1,1
2838,2838,,other,48741,173702,1134,2239,806,226,191,9,0,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
2839,2839,,other,113992,51837,45509,92880,355,6,190,10,18,0,7,0.235698,0.24567,0,0,1,1,0,0,0,1,1
2877,2877,,other,3702,28087,391,32763,731,3,177,23,9,0,6,0.24581,0.256223,0,0,1,1,0,0,0,1,1
2943,2943,,other,10554,615,338,523,13,24,151,49,7,0,6,0.300488,0.319913,0,0,2,2,0,0,0,2,2
2971,2971,,other,17141,2352,968,45804,77,8,93,107,5,0,1,1,1,0,0,1,1,0,0,0,1,1
2987,2987,,other,34968,57438,31585,55064,76,194,47,153,18,0,1,1,1,0,0,1,1,0,0,0,1,1
3000,3000,,other,114024,89211,949,320470,898,8,165,35,5,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
3018,3018,,other,17005,23816,874,5671,343,0,175,23,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3038,3038,,normal,719,2125,790,1106,28,29,132,66,9,0,5,0.401821,0.451618,0,0,22,22,0,0.068797,0,22,22
3092,3092,,other,261909,52112,9777,221332,602,157,16,184,18,0,8,0.184854,0.195949,0,0,2,2,0,0,0,2,2
3106,3106,,other,13677,82370,0,0,1140,0,200,0,5,0,1,1,1,0,0,1,1,0,0,0,1,1
3113,3113,,hateful,2874,2638,3730,4658,4,158,124,76,18,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
3127,3127,,other,2000,32736,29650,1684,193,2,181,18,4,0,1,1,1,0,0,2,2,0,0,0,2,2
3198,3198,,normal,18852,784,740,20736,13,33,84,116,0,0,4,0.348837,0.405556,0,0,1,1,0,0.000239,0,1,1
3202,3202,,other,1919,13951,121,285,49,2,196,4,4,0,9,0.156743,0.164867,0,0,1,1,0,0,0,1,1
3265,3265,,other,666,925,117,8523,5,13,115,75,18,0,7,0.234221,0.251028,0,0,2,2,0,0,0,2,2
3302,3302,,other,27619,13277,296,2847,115,32,125,75,11,0,1,1,1,0,0,2,2,0,0,0,2,2
3308,3308,,other,117020,31420,32149,181531,248,93,109,91,0,0,4,0.432432,0.5625,0,0,5,5,0,0,0,5,5
3324,3324,,other,4647,246,265,6941,2,7,153,44,9,0,1,1,1,0,0,1,1,0,0,0,1,1
3343,3343,,other,208,48836,23795,200,627,0,196,1,20,0,1,1,1,0,0,1,1,0,0,0,1,1
3353,3353,,other,27596,191036,217,23404,1739,32,67,133,0,0,7,0.234894,0.254417,0,0,5,5,0,0,0,5,5
3354,3354,,other,121915,10550,1621,416266,299,6,169,31,5,0,1,1,1,0,0,1,1,0,0,0,1,1
3370,3370,,normal,1785,36143,199,3893,174,63,189,11,0,0,6,0.292864,0.329483,0,0,16,16,0,0.00853,0,16,16
3389,3389,,normal,103417,6379,770,239066,174,22,127,73,7,0,5,0.418478,0.468452,0,0,23,23,0,0.044616,0,23,23
3441,3441,,other,16403,32521,50,7200,642,22,124,76,7,0,1,1,1,0,0,1,1,0,0,0,1,1
3473,3473,,other,5097,26602,1107,434,454,77,166,34,18,0,7,0.254756,0.268862,0,0,1,1,0,0,0,1,1
3476,3476,,other,4085,1073,1059,242,28,3,181,19,4,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
3477,3477,,other,23314,144332,141575,17860,788,38,47,147,0,0,1,1,1,0,0,1,1,0,0,0,1,1
3509,3509,,other,181850,6100,3846,146773,218,15,109,91,5,0,1,1,1,0,0,1,1,0,0,0,1,1
3515,3515,,other,122033,22241770,157,306,109652,11,182,18,7,0,7,0.211393,0.22592,0,0,3,3,0,0,0,3,3
3526,3526,,other,154457,100573,7055,0,394,74,99,101,20,0,1,1,1,0,0,1,1,0,0,0,1,1
3549,3549,,hateful,819,4027,4988,2638,15,732,101,99,8,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
3554,3554,,other,105123,10180,883,121617,207,10,160,40,9,0,6,0.305556,0.331981,0,0,2,2,0,0,0,2,2
3572,3572,,other,164585,114693,32484,71629,420,230,7,193,0,0,7,0.251415,0.279835,0,0,7,7,0,0,0,7,7
3575,3575,,other,15976,5758,648,22632,58,7,86,111,8,0,1,1,1,0,0,1,1,0,0,0,1,1
3614,3614,,other,26563,22689,1419,1686,1107,19,193,7,4,0,2,0.666667,0.75,0,0,1,1,0,0,0,1,1
3616,3616,,hateful,346,3555,2667,13441,16,2,199,0,9,0.00054,7,0.253289,0.274382,0,0,4,4,0,0.01365,0,4,4
3619,3619,,other,59978,574051,575,508,1198,180,189,11,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3623,3623,,other,64153,116759,1777,23103,2972,10,175,25,5,0,1,1,1,0,0,1,1,0,0,0,1,1
3624,3624,,other,25755,1876,140,41726,42,8,126,72,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3646,3646,,other,386105,2694,1980,9890,74,10,116,84,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3664,3664,,other,131,3850,189,106,43,1,120,11,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3683,3683,,normal,226531,10469,11302,56400,176,13,179,21,0,0,5,0.3,0.352222,0,0,1,1,0,0.000321,0,1,1
3693,3693,,other,54,1823,53,270,2,0,51,3,9,0,6,0.34763,0.400271,0,0,20,20,0,0,0,20,20
3695,3695,,other,64325,4603,1229,41851,32,48,100,26,5,0,1,1,1,0,0,1,1,0,0,0,1,1
3701,3701,,other,356840,2751,1047,1778,142,0,175,25,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3731,3731,,other,17094,60808,677,73222,2050,2,191,9,20,0,1,1,1,0,0,1,1,0,0,0,1,1
3801,3801,,other,4924,267,179,277,3,5,155,45,20,0,1,1,1,0,0,1,1,0,0,0,1,1
3873,3873,,normal,9505,22378,18,302,141,29,190,10,9,0,5,0.389873,0.450433,0,0,29,29,0,0.081549,0,29,29
3876,3876,,other,66888,74391,957,28360,840,86,114,86,7,0,6,0.289908,0.332911,0,0,16,16,0,0,0,16,16
3885,3885,,other,8692,1376,991,16189,31,3,22,176,12,0,1,1,1,0,0,1,1,0,0,0,1,1
3914,3914,,other,30541,148120,1115,3823,1090,233,166,34,4,0,1,1,1,0,0,1,1,0,0,0,1,1
3915,3915,,other,30472,2492214,368,65,19509,14,180,20,7,0,1,1,1,0,0,1,1,0,0,0,1,1
4003,4003,,other,136271,7242382,368,138,34948,2,195,5,11,0,1,1,1,0,0,1,1,0,0,0,1,1
4007,4007,,hateful,1647,159,16,710,0,4,108,90,4,0.00054,0,0,0,0,0,0,0,0,0,0,0,0
4009,4009,,other,36945,1351941,5658,14886,13538,95,118,82,9,0,6,0.285714,0.312013,0,0,6,6,0,0,0,6,6
4024,4024,,other,289022,2724046,2768,663,20117,76,147,53,18,0,8,0.188071,0.198332,0,0,1,1,0,0,0,1,1
4026,4026,,hateful,1474,535,427,1852,1,24,136,55,9,0.003798,6,0.337734,0.378447,767.585432,12,13,25,0.031092,0.03821,12,13,25
4071,4071,,other,33709,12819,54,1385,481,62,66,134,8,0,1,1,1,0,0,1,1,0,0,0,1,1
4076,4076,,other,7195,673,169,26215,33,7,166,34,4,0,1,1,1,0,0,1,1,0,0,0,1,1
4101,4101,,other,44012,51868,2637,44171,1259,8,181,19,5,0,1,1,1,0,0,1,1,0,0,0,1,1
4133,4133,,other,3170,25738,1985,990,47,215,79,121,0,0,6,0.329843,0.358836,0,0,7,7,0,0,0,7,7
4150,4150,,normal,4908,3097,358,7835,45,202,130,70,10,0,7,0.224387,0.240499,0,0,3,3,0,0.000037,0,3,3
4185,4185,,other,15281,25017,1713,25820,131,22,182,18,2,0,8,0.205843,0.22124,0,0,3,3,0,0,0,3,3
4195,4195,,other,25545,145252,47862,2875,1646,32,99,101,18,0,1,1,1,0,0,1,1,0,0,0,1,1
4204,4204,,other,219484,15030785,1094,1298,107172,0,198,2,7,0,7,0.205452,0.216066,0,0,2,2,0,0,0,2,2
4212,4212,,other,2974,729,207,61,3,39,160,38,7,0,6,0.291943,0.3171,0,0,4,4,0,0,0,4,4
4224,4224,,other,33213,338126,4157,53338,3216,14,165,35,5,0,1,1,1,0,0,3,3,0,0,0,3,3
4226,4226,,other,8297,31787,59,1150,530,8,154,46,9,0,6,0.274265,0.294481,0,0,3,3,0,0,0,3,3
4282,4282,,other,686812,25309,23036,260578,107,3,114,86,4,0,1,1,1,0,0,1,1,0,0,0,1,1
4312,4312,,other,50208,37183,21883,72618,149,191,7,193,18,0,2,0.857143,0.916667,0,0,5,5,0,0,0,5,5
4342,4342,,normal,31446,38386,105,15,816,2,125,75,10,0,1,1,1,0,0,1,1,0,0.00001,0,1,1
4357,4357,,other,66089,111321,5240,30037,153,0,200,0,2,0,9,0.170436,0.178442,0,0,1,1,0,0,0,1,1
