Id,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,sentiment,subjectivity,number hashtags,tweet number,retweet number,quote number,status length
1487,other,20312,10087,347,12557,78,0.17675878,0.456415105,1,188,12,5,48.23
1506,other,15656,130010,1602,4375,3664,0.017246822,0.421316478,238,119,81,8,138.5
1508,other,6929,610896,453,2836,17150,0.151721335,0.551932931,10,196,4,7,85.155
1572,other,15580,37663,6,3119,690,0.094686679,0.51455569,88,132,68,30,167.81
1613,other,39868,3202,1049,15366,33,0.064453463,0.557419936,3,172,27,6,82.64824121
1616,other,67572,1047,281,6119,56,-0.024462077,0.588586588,10,135,65,54,100.33
1627,other,233953,51688,23889,180837,312,0.094149564,0.493758295,277,4,196,0,137.245
1656,other,7735,16830,3752,9268,263,0.013428103,0.500914038,105,139,61,20,148.52
1668,other,306506,127847,3471,655,2968,0.095268408,0.511592877,24,113,87,21,125.54
1669,other,115518,84702,3433,1716,2306,0.06821011,0.427571119,7,149,51,1,109.175
1679,hateful,1771,362,110,1397,0,0.018592661,0.462232431,25,131,65,33,103.2346939
1703,other,85528,19882,1309,89468,269,0.10986348,0.488063915,161,49,151,0,120.685
1718,other,21999,410078,64,5509,583,0.192113148,0.458592225,8,196,4,8,81.47
1745,other,48192,7194,1991,20570,59,0.092673261,0.497898218,146,108,92,0,126.93
1767,other,625,16887,155,131,112,-0.008246601,0.492415557,112,177,23,22,127.655
1771,other,21528,2120,1154,25141,85,0.097025648,0.485856924,31,191,9,51,163.955
1782,normal,681,1364,3680,34,21,0.083984529,0.486953269,52,155,45,21,148.1
1800,other,19810,86275,60927,3841,215,0.103423893,0.492504798,146,200,0,129,132.3
1802,other,26937,6183,129,68,81,0.091912278,0.527970507,6,106,94,40,122.085
1860,other,7427,24260,24809,26039,89,-0.030323604,0.506983902,11,180,20,2,67.88
1869,other,56049,217112,830,46190,2288,0.087827328,0.482338981,18,144,56,64,113.29
1903,other,41737,4466,4728,1618,83,0.015045855,0.442109333,114,73,127,29,140.48
1907,other,5929,1001,581,1409,41,0.084158361,0.481774151,32,31,168,4,105.8291457
1988,other,69631,5695,136,11138,141,-0.027146255,0.547186344,12,117,83,5,76.555
1989,other,1809,1187,342,367,34,0.09813962,0.509563863,110,96,104,42,184.61
1992,other,15007,53125,804,25268,732,0.049833108,0.476725615,0,193,7,5,115.805
1998,other,169,12813484,489,7088,11269,0.15629708,0.511816726,6,132,20,5,58.93421053
2016,other,1285,12118,111,88,112,0.096295931,0.50454147,17,184,16,43,94.135
2038,hateful,90492,3151,853,7058,20,0.077436351,0.493209028,5,132,59,37,83.13089005
2047,other,6692,13925,7312,1271,159,0.137486193,0.448144642,98,170,30,7,113.075
2048,normal,90,11,50,524,0,0.087842675,0.469066634,2,59,9,1,92.08823529
2057,hateful,100,68,89,1101,0,0.050555319,0.501717408,23,48,49,0,74.35051546
2062,other,59463,235424,3587,61231,2468,0.072163461,0.46403494,11,147,53,38,172.04
2149,other,3742,28768,1299,185,297,0.075572172,0.488028245,7,199,1,0,111.435
2161,other,60099,24406,134,2028,196,0.063361371,0.505617833,50,172,28,27,121.335
2224,other,12868,489,307,429,18,0.050678162,0.514491683,22,158,42,56,74.195
2227,normal,127090,557603,2148,7926,4454,0.005037805,0.449267088,3,185,15,1,124.15
2235,other,5038,166124,162116,5440,1282,0.097683682,0.522389153,1,184,10,5,84.03092784
2238,other,51833,33701,3896,100500,175,0.051975138,0.4443599,41,175,25,48,116.46
2243,normal,882,238,245,1261,3,0.042739811,0.508709352,9,151,45,9,75.96938776
2258,other,8552,72564582,128701,1607,226143,0.226609591,0.537982141,174,165,35,36,132.02
2300,other,230410,4655,1859,2984,118,0.137453375,0.556248834,6,184,16,82,93.97
2335,other,3753,23887069,1,628,45239,0.220629431,0.453341254,95,176,24,1,75.255
2344,other,4504,7634,4848,554,14,0.119248142,0.51764897,221,2,198,0,133.73
2404,other,28869,155937,284,18563,3181,0.155771829,0.413571287,223,183,17,3,153.74
2413,other,21454,7962,2302,36377,69,0.037739946,0.505719975,10,153,47,45,107.435
2434,other,258587,18505,16891,243053,212,0.08117501,0.508283075,123,28,172,6,131.54
2447,other,2389,4923,644,5,125,0.026529964,0.448946307,98,137,63,80,180.81
2454,other,122122,2368,957,15473,105,0.0770099,0.521318659,12,140,59,70,89.24120603
2470,other,34456,277081,976,297,5852,0.006490167,0.492659073,17,91,109,4,119.29
2483,other,13150,32195,1,1,449,0.06729176,0.457191229,0,200,0,0,84.55
2488,other,13573,228960,543,7041,825,0.098565908,0.493714472,42,78,122,15,107.805
2491,other,9196,1035006,277,70,3120,0.157196485,0.496134802,102,180,20,6,56.885
2494,other,29838,753,589,403,58,0.078513174,0.545723146,13,149,51,27,69.16
2495,other,6017,11977,608,4312,56,0.190537737,0.492384287,185,99,101,31,123.085
2501,other,97072,2179,578,48779,29,0.092894147,0.524082409,4,178,22,10,68.995
2516,hateful,2267,30887,170,2,291,0.054020801,0.379020273,19,138,61,27,121.8894472
2555,normal,46089,17049,8955,31358,389,0.178887361,0.49843499,21,171,29,14,86.63
2587,other,494,940,251,0,18,0.049682922,0.442377899,25,124,76,10,134.855
2595,other,180568,24447,22840,22741,237,0.030134093,0.456602017,5,191,9,0,109.865
2604,other,2015,15409,657,6012,82,0.071971987,0.539128673,7,171,28,15,94.3919598
2605,other,2331,7256,7796,339,18,0.120189616,0.456370781,68,163,37,5,138.335
2608,hateful,4541,235,112,2829,4,0.037463714,0.477972778,88,90,108,13,128.2575758
2644,normal,399,40,25,1443,1,0.057664795,0.459874208,55,56,143,0,115.6582915
2655,other,298732,3332,2318,934,95,0.04141566,0.495953735,19,66,133,21,83.28643216
2699,other,112,7,12,98,0,0.003505598,0.530672734,4,49,62,7,82.36936937
2750,other,15551,33217,291,387,55,0.110824674,0.551507132,11,103,96,50,67.66331658
2752,other,12877,3013,937,7776,100,0.101089076,0.447022655,15,173,27,35,118.26
2760,other,39632,17964,770,13166,379,0.077357219,0.497098782,23,115,85,21,95.695
2761,other,137028,148325,3392,34804,3930,0.081145098,0.48112357,32,97,103,26,104.425
2770,other,231023,103922,1752,592,1971,0.044218485,0.501246807,8,136,64,70,127.845
2794,other,16158,18748,570,3385,294,0.070346163,0.505642192,12,108,90,64,127.2727273
2806,other,144661,11915,6089,297,29,0.062921802,0.525363096,73,46,154,1,148.15
2807,other,3828,183088,90503,8010,345,0.088295894,0.53531989,3,199,0,5,78.35175879
2809,other,20807,218302,133,540,5363,0.017202768,0.467786953,2,184,16,1,112.88
2838,other,48741,173702,1134,2239,806,0.112615462,0.461834394,226,191,9,3,125.625
2839,other,113992,51837,45509,92880,355,0.024683915,0.443352383,6,190,10,0,79.39
2877,other,3702,28087,391,32763,731,0.122092718,0.516662066,3,177,23,16,92.365
2943,other,10554,615,338,523,13,0.094078794,0.51377375,24,151,49,8,107.895
2971,other,17141,2352,968,45804,77,0.15146534,0.589032079,8,93,107,6,64.145
2987,other,34968,57438,31585,55064,76,0.145010598,0.515425829,194,47,153,14,133.455
3000,other,114024,89211,949,320470,898,0.083164667,0.537759525,8,165,35,18,102.47
3018,other,17005,23816,874,5671,343,0.080883032,0.525408626,0,175,23,19,102.2222222
3038,normal,719,2125,790,1106,28,0.055400556,0.445474228,29,132,66,20,128.4090909
3092,other,261909,52112,9777,221332,602,0.104239683,0.462914418,157,16,184,6,135.285
3106,other,13677,82370,0,0,1140,0.060296723,0.530213153,0,200,0,0,72.695
3113,hateful,2874,2638,3730,4658,4,0.041878425,0.516093514,158,124,76,115,168.855
3127,other,2000,32736,29650,1684,193,0.079569659,0.585797636,2,181,18,13,65.60301508
3198,normal,18852,784,740,20736,13,0.010219473,0.472693062,33,84,116,77,167.955
3202,other,1919,13951,121,285,49,0.066465013,0.487362035,2,196,4,3,89.68
3265,other,666,925,117,8523,5,0.031632431,0.535846896,13,115,75,6,55.85263158
3302,other,27619,13277,296,2847,115,0.019959376,0.501032311,32,125,75,39,125.65
3308,other,117020,31420,32149,181531,248,-0.008135135,0.462556653,93,109,91,1,94.005
3324,other,4647,246,265,6941,2,0.101061159,0.491514511,7,153,44,16,74.70558376
3343,other,208,48836,23795,200,627,0.020658906,0.547848207,0,196,1,47,85.15736041
3353,other,27596,191036,217,23404,1739,0.072790786,0.500715198,32,67,133,11,113.555
3354,other,121915,10550,1621,416266,299,0.117093677,0.590702948,6,169,31,4,61.58
3370,normal,1785,36143,199,3893,174,0.02358988,0.508294743,63,189,11,46,150.21
3389,normal,103417,6379,770,239066,174,0.221335716,0.518873544,22,127,73,5,63.78
3441,other,16403,32521,50,7200,642,0.104125515,0.514190103,22,124,76,26,118.88
3473,other,5097,26602,1107,434,454,0.064689272,0.469170096,77,166,34,0,124.115
3476,other,4085,1073,1059,242,28,0.062480328,0.560235078,3,181,19,95,88.785
3477,other,23314,144332,141575,17860,788,0.04726931,0.450205234,38,47,147,14,125.4896907
3509,other,181850,6100,3846,146773,218,0.075887052,0.439585053,15,109,91,6,138.675
3515,other,122033,22241770,157,306,109652,0.112127296,0.433378785,11,182,18,0,110.315
3526,other,154457,100573,7055,0,394,0.083672528,0.452132703,74,99,101,20,125.905
3549,hateful,819,4027,4988,2638,15,0.068382035,0.43831259,732,101,99,0,121.915
3554,other,105123,10180,883,121617,207,0.059275474,0.574498574,10,160,40,17,85.78
3572,other,164585,114693,32484,71629,420,0.073491341,0.50139845,230,7,193,0,152.72
3575,other,15976,5758,648,22632,58,0.075963997,0.528916982,7,86,111,18,91.65989848
3614,other,26563,22689,1419,1686,1107,0.059701128,0.513096229,19,193,7,35,101.77
3616,hateful,346,3555,2667,13441,16,0.146153259,0.481207825,2,199,0,6,75.70351759
3619,other,59978,574051,575,508,1198,0.033168315,0.542302431,180,189,11,9,86.765
3623,other,64153,116759,1777,23103,2972,0.077581099,0.496266631,10,175,25,41,134.235
3624,other,25755,1876,140,41726,42,0.054711919,0.575749576,8,126,72,20,90.27272727
3646,other,386105,2694,1980,9890,74,0.133505206,0.551523354,10,116,84,40,94.24
3664,other,131,3850,189,106,43,0.105604276,0.545763008,1,120,11,5,103.4580153
3683,normal,226531,10469,11302,56400,176,0.020358623,0.465359615,13,179,21,12,196.82
3693,other,54,1823,53,270,2,0.062228101,0.477454439,0,51,3,1,44.48148148
3695,other,64325,4603,1229,41851,32,0.064722125,0.449233345,48,100,26,16,96.13492063
3701,other,356840,2751,1047,1778,142,0.083288135,0.535530764,0,175,25,26,61.985
3731,other,17094,60808,677,73222,2050,0.039138293,0.545879115,2,191,9,18,124.735
3801,other,4924,267,179,277,3,0.015428743,0.592634415,5,155,45,68,78.26
3873,normal,9505,22378,18,302,141,0.020053478,0.405508496,29,190,10,1,104.235
3876,other,66888,74391,957,28360,840,0.033116128,0.485328012,86,114,86,40,137.175
3885,other,8692,1376,991,16189,31,0.021651987,0.537845539,3,22,176,0,75.64646465
3914,other,30541,148120,1115,3823,1090,0.170393234,0.471178541,233,166,34,8,119.9
3915,other,30472,2492214,368,65,19509,0.122514396,0.541671118,14,180,20,0,130.725
4003,other,136271,7242382,368,138,34948,0.103931298,0.457042912,2,195,5,0,133.615
4007,hateful,1647,159,16,710,0,0.090888461,0.565915778,4,108,90,12,47.74747475
4009,other,36945,1351941,5658,14886,13538,0.064882953,0.464192279,95,118,82,17,155.98
4024,other,289022,2724046,2768,663,20117,0.103972206,0.451152905,76,147,53,0,120.98
4026,hateful,1474,535,427,1852,1,0.04493988,0.46189552,24,136,55,17,108.7539267
4071,other,33709,12819,54,1385,481,0.015552136,0.34471199,62,66,134,2,136.38
4076,other,7195,673,169,26215,33,0.137448138,0.569164014,7,166,34,14,66.675
4101,other,44012,51868,2637,44171,1259,0.092938489,0.479958094,8,181,19,37,120.985
4133,other,3170,25738,1985,990,47,0.259927554,0.537158423,215,79,121,12,118.085
4150,normal,4908,3097,358,7835,45,0.0623337,0.478055497,202,130,70,27,159.605
4185,other,15281,25017,1713,25820,131,0.140680355,0.491159644,22,182,18,5,135.97
4195,other,25545,145252,47862,2875,1646,0.032742424,0.49414096,32,99,101,45,133.635
4204,other,219484,15030785,1094,1298,107172,0.010467282,0.419140501,0,198,2,0,112.015
4212,other,2974,729,207,61,3,0.037040788,0.575938719,39,160,38,8,70.41414141
4224,other,33213,338126,4157,53338,3216,0.090469857,0.517998357,14,165,35,26,105.865
4226,other,8297,31787,59,1150,530,0.098120391,0.498318587,8,154,46,2,125.705
4282,other,686812,25309,23036,260578,107,0.315872252,0.710972862,3,114,86,3,47.685
4312,other,50208,37183,21883,72618,149,0.024528921,0.494794199,191,7,193,0,134.975
4342,normal,31446,38386,105,15,816,0.055742123,0.384459736,2,125,75,0,125.735
4357,other,66089,111321,5240,30037,153,-0.062502452,0.388537243,0,200,0,0,106.915
4376,other,3367,393,897,30601,5,0.088187409,0.524836859,17,97,94,6,89.72251309
4391,normal,33766,6255,1252,1956,98,0.081955573,0.521328016,45,105,93,42,123.6818182
4396,other,122002,1315571,12018,2200,17367,0.05665063,0.481468959,11,183,17,0,95.45
4427,other,3546,895,902,14382,8,0.127643414,0.569378562,36,134,45,0,374.6703911
4435,other,17325,2450,806,5237,46,0.210838465,0.55710136,9,56,143,19,64.64824121
4437,other,46938,90708,4277,4646,1868,0.084214593,0.44161209,24,44,156,4,131.4
4438,other,10214,2638,1684,6080,136,0.025695439,0.462513436,85,151,49,14,119.84
4444,other,28641,11892,9231,6413,302,0.173071376,0.520029331,151,162,38,45,162.025
4446,other,47689,247,97,93523,10,0.119361087,0.559934579,1,174,26,6,67.54
4455,other,41165,233653,173360,17989,1664,0.064427268,0.50393726,30,194,6,40,145.94
4507,other,206156,625387,1383,1206,9869,0.002806785,0.404530877,10,167,33,2,130.37
4508,other,26906,5174,720,26249,84,0.106415279,0.524242574,36,146,54,50,134.245
4509,other,67283,2355,676,27637,48,0.029932997,0.576972338,7,105,95,10,72.16
4525,hateful,2723,5218,135,30,79,0.064328568,0.476218373,88,87,112,16,141.4271357
4548,normal,48399,2395,424,37037,108,0.043744084,0.545976858,5,154,46,18,76.295
4655,hateful,35,6,4,8,0,0.035476661,0.449244777,2,34,0,13,151.5
4668,other,179799,8094,788,61347,96,0.137923629,0.562277815,4,170,30,47,80.42
4677,other,44771,646645,673,2419,916,0.003459124,0.485764533,41,72,125,25,126.4162437
4678,other,410201,15682,1021,467,422,0.085877867,0.523529894,13,148,52,36,62.155
4693,other,168512,3770796,2423,6446,15882,0.211031402,0.467404847,43,178,22,0,140.95
4703,other,11835,3311,609,36810,18,0.05012241,0.519091283,3,115,84,3,98.74874372
4729,other,113947,8108,162,22101,31,0.254292929,0.501273702,18,83,117,21,73.17
4745,other,167680,7589,1376,309,102,0.008455549,0.575542236,1,140,59,57,77.57788945
4761,normal,584780,80466,2074,926,963,0.153566381,0.571579565,5,143,57,39,82.69
4767,other,2831,71395,735,21599,220,0.232516676,0.563700312,18,182,17,5,77.22613065
4775,other,60221,8875,584,42165,139,0.082002396,0.500519657,19,168,32,80,110.41
4798,other,87703,642557,488,61,5431,0.069111933,0.410794139,1,188,12,3,150.32
4839,hateful,410,257,249,1048,0,0.125433765,0.497411454,45,119,76,51,114.7589744
4925,other,37020,73091,1171,43825,309,0.056901895,0.495035516,97,89,111,2,115.71
4932,other,52794,23533,2553,7506,971,0.058251174,0.510247961,24,125,75,13,105.685
4960,other,127621,41233,23636,273735,166,0.035773177,0.481128342,69,108,92,22,109.72
4964,other,13767,125973,649,152566,947,0.07802823,0.548874504,14,195,5,0,119.055
5008,other,13450,385187,587,7287,2544,0.071117524,0.518272993,33,119,80,36,133.7035176
5054,other,109292,20239,12598,75684,112,0.064870966,0.458880765,196,30,170,2,130.955
5098,hateful,3985,2093,449,1780,14,0.057207582,0.515164604,7,182,18,3,90.98
5180,other,4971,97919,59721,6417,563,0.002616053,0.510229778,56,179,21,53,152.15
5188,other,988,3367,235,248,52,0.024104795,0.410426043,199,196,4,27,139.79
5199,other,64127,25272,13391,55035,51,0.167347936,0.505730735,139,29,171,0,120.995
5213,other,28804,16571,255,24871,30,0.300961538,0.446153846,9,147,53,4,79.33
5227,other,3526,10656,933,1162,169,0.105709763,0.446216122,28,120,80,27,154.36
5234,other,171196,4375,970,104086,143,0.077928053,0.514413992,11,72,126,8,97.52020202
5249,other,4274,2665,5001,6189,1,0.02040972,0.464188046,81,16,183,0,132.6834171
5273,other,186317,2809,1175,52710,131,0.139132521,0.539578873,11,160,40,42,61.315
5282,other,73753,1890,754,12016,57,0.032500032,0.526274667,13,169,31,36,97.12
5286,other,17867,2115,610,12581,29,0.041917904,0.501000054,181,51,148,0,70.92964824
5293,other,5438,71199,526,5138,483,0.201746185,0.528149412,24,109,89,4,69.2020202
5330,other,611,415,559,381,4,0.101378082,0.399735497,30,109,91,12,119.305
5343,other,71142,550054,2271,8666,1909,0.289606742,0.613121319,21,200,0,0,90.145
5352,other,47856,928,441,16070,23,0.21351142,0.566024725,4,123,77,32,87.72
5355,other,208805,5324,1303,2541,131,0.05474149,0.546365987,18,80,118,20,96.52525253
5376,other,3916,148211,1362,17404,598,0.064445627,0.570947956,3,179,21,1,87.235
5385,other,40507,50461,1872,39247,475,0.077084764,0.490563674,37,107,93,34,106.9
5408,other,86875,9381,1022,108994,40,0.123416306,0.516151611,73,86,114,21,118.46
5416,normal,840,143,3,19,4,0.068445166,0.378109668,400,200,0,0,78.125
5480,other,23065,4513,113,17155,30,0.278819314,0.592644769,3,95,105,0,80.9
5486,other,163926,5403,974,214333,107,0.071515095,0.514818526,5,151,49,0,48.85
5498,other,2689,28410,7614,8452,245,0.109280415,0.490685167,47,185,14,16,93.20603015
5536,other,14527,873,275,33818,41,0.064866325,0.550120491,4,122,75,21,73.1319797
5663,other,628152,45284,40536,42,621,-0.032109541,0.376896546,198,195,5,0,86.06
5672,other,31133,6267,3196,24718,94,0.077089596,0.528692542,26,172,28,3,107.965
5684,other,69927,41909,600,1277,723,0.034446227,0.43278733,25,159,41,48,144.32
5689,other,74823,1336,347,12704,37,0.045961862,0.513526127,6,181,19,23,78.24
5699,other,43757,3113,767,13505,102,0.254048248,0.652157979,9,197,3,6,58.485
5702,other,55180,35122,698,64519,753,0.102931198,0.548770868,17,170,30,51,88.95
5707,hateful,60774,35642,3841,17188,216,0.032329671,0.466661087,33,93,102,25,146.2410256
5709,other,17336,5938,5040,24602,14,0.120031974,0.551979936,126,51,149,7,136.195
5712,other,568,195459,129,21,833,0.179234632,0.594109091,0,181,19,1,52.79
5740,other,2888,1397,418,3169,22,0.056807741,0.484748697,74,129,71,28,144.895
5771,other,2029,3390,19,1416,11,0.054858024,0.473171877,0,200,0,0,74.81
5779,other,30505,2858381,3644,3737,3605,0.235121785,0.466242578,117,81,118,6,112.2261307
5816,normal,100670,14050,4618,54190,329,0.014299103,0.532636189,2,199,1,0,92.525
5817,other,270027,115164,101,10,3216,0.032436686,0.342382155,1,200,0,0,119.58
5826,other,25465,799,405,15387,6,0.048784806,0.527888007,1,93,106,21,60.79396985
5831,other,3578,162,44,7699,12,0.051701823,0.572071134,10,147,50,43,82.05583756
5834,other,36105,8763,9316,44225,16,0.097508449,0.513714273,124,31,169,7,157.94
5835,normal,52109,1670,510,75433,14,0.052662391,0.497537087,64,54,146,0,124.415
5846,other,7687,785,182,1033,30,0.169320366,0.567992564,7,150,50,22,73.46
5907,other,19860,700,2081,13053,65,0.052022953,0.472975002,32,84,116,10,121.535
5922,other,495,644419,452,111,1439,0.081440207,0.480619423,23,182,18,75,127.465
5950,other,10456,1365,2361,6223,4,0.052310617,0.483042918,163,62,137,0,142.2763819
5992,normal,21149,2511,380,136,27,0.101007691,0.464425919,48,173,26,109,129.6482412
5996,other,3798,15671,0,9,516,0.043288578,0.347270181,2,165,35,8,137.46
6006,other,374,3525,792,697,9,0.058967684,0.609263364,14,157,42,12,55.40703518
6012,hateful,1417,527,208,4785,11,0.036104825,0.482545201,4,200,0,20,132.59
6065,other,28914,336641,644,60896,1022,0.303676196,0.492630352,9,136,64,6,75.375
6106,other,29510,2763844,649,1850,23037,0.053652589,0.55222478,26,158,42,27,101.905
6109,hateful,22590,2875,2575,23966,5,0.034694323,0.483414571,104,24,176,0,133.035
6115,other,35103,25962,287,51010,133,0.05552917,0.548495851,59,81,118,23,115.8542714
6125,other,124862,7161,1374,132560,113,0.105239612,0.361166404,185,24,176,9,118.78
6144,other,45174,1707388,3782,6315,18781,0.064729937,0.450022782,153,132,68,1,130.805
6146,other,1746,1004,425,2185,5,0.00430484,0.448356675,24,48,148,18,135.1836735
6171,other,30314,689370,3228,22885,8926,0.156787515,0.489315933,34,139,61,12,104.945
6173,other,65739,79109,3798,77943,1164,0.085697802,0.50676516,67,70,130,26,145.34
