Id,Label,timeset,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,pageranks
46,,,other,13000,8463,1210,1621,195,0,3,3,9,0.211009,0.305452,0,97,0,0.000262,0
48,,,other,111972,83306,81,55044,618,0,10,10,6,0.421875,0.590741,0,137,0,0.001529,0
55,,,other,9817,2854,138,5544,50,0,3,3,17,0.128305,0.153913,0,146,0,0.000585,0
57,,,other,323,181,137,481,0,0,1,1,1,1,1,0,111,0,0,0
58,,,other,60838,1118876,7355,17717,6022,0,3,3,4,0.35,0.428571,0,68,0,0.000085,0
59,,,other,2432,2631,4151,4562,15,0,1,1,2,0.666667,0.75,0,113,0,0.0002,0
63,,,other,127475,33415,1811,1059,171,0,2,2,3,0.529412,0.592593,0,53,0,0.000161,0
66,,,other,19984,1393397,482,573,2114,0,3,3,1,1,1,0,137,0,0.000699,0
71,,,other,24217,108484,2301,121170,510,0,17,17,2,0.793103,0.869565,0,146,0,0.002105,0
77,,,other,174653,22781,1165,117220,39,0,2,2,1,1,1,0,97,0,0.000008,0
78,,,other,43616,22081,492,42181,67,0,1,1,1,1,1,0,97,0,0,0
81,,,other,69302,5995,87,18495,25,0,1,1,1,1,1,0,97,0,0,0
82,,,other,19188,328782,632,28464,335,0,2,2,3,0.555556,0.666667,0,113,0,0.00001,0
83,,,other,4960,2614,888,7509,49,0,2,2,1,1,1,0,146,0,0.000138,0
85,,,normal,49169,2321,206,24755,37,3,2,5,7,0.230769,0.29515,329.166667,97,0.000103,0.000006,0.000392
86,,,other,1352,2338,1003,964,19,0,3,3,5,0.419355,0.534615,0,137,0,0.000472,0
90,,,other,330,2839,2152,286,42,0,1,1,1,1,1,0,146,0,0.000105,0
96,,,other,23947,47443,4599,50388,264,0,3,3,1,1,1,0,137,0,0.000879,0
99,,,normal,4176,204,908,3745,1,5,0,5,0,0,0,0,113,0.047652,0,0.000203
100,,,normal,1084,20164,498,5,475,0,0,0,0,0,0,0,111,0,0,0.000139
102,,,other,246062,19950,13485,24886,2441,0,2,2,4,0.421053,0.541667,0,130,0,0.000006,0
103,,,other,91713,19010,17432,609,251,0,1,1,1,1,1,0,113,0,0.00221,0
112,,,other,123507,3769,2735,42894,114,0,1,1,1,1,1,0,111,0,0.000004,0
116,,,other,4493,3458,586,3042,46,0,1,1,2,0.666667,0.75,0,70,0,0.000004,0
118,,,normal,21291,172481,362,2439,541,0,0,0,0,0,0,0,146,0,0,0.000139
119,,,normal,8744,291,309,16250,3,0,1,1,2,0.6,0.666667,0,137,0,0,0.000139
120,,,other,40719,910,599,13190,6,0,1,1,6,0.31,0.337097,0,137,0,0.000238,0
121,,,other,12473,3331,448,24236,76,0,12,12,4,0.695652,0.848958,0,137,0,0.001913,0
124,,,normal,49730,7081,5517,103406,1322,0,0,0,0,0,0,0,146,0,0,0.000139
127,,,normal,2611,722,700,1726,47,0,0,0,0,0,0,0,146,0,0,0.000139
128,,,other,18117,493343,20,7734,1290,0,3,3,1,1,1,0,137,0,0.000378,0
129,,,other,184976,5647,6167,66389,244,0,1,1,3,0.5,0.611111,0,113,0,0.001219,0
131,,,other,29483,3022,108,25123,3,0,1,1,1,1,1,0,97,0,0.000003,0
133,,,other,5999,623,395,4760,11,0,1,1,2,0.666667,0.75,0,97,0,0,0
138,,,other,11512,10950,1151,3698,664,0,1,1,1,1,1,0,146,0,0.000039,0
140,,,other,6260,13983,274,52186,127,0,24,24,10,0.25074,0.341487,0,113,0,0.009991,0
142,,,normal,504,123,141,6139,0,2,0,2,0,0,0,0,137,0.000079,0,0.000168
146,,,other,52435,81332,752,11961,2543,0,1,1,1,1,1,0,146,0,0.000095,0
149,,,other,2107,1249,391,918,24,0,1,1,2,0.666667,0.75,0,146,0,0.00011,0
150,,,other,12980,131560,823,7065,360,0,10,10,2,0.857143,0.916667,0,137,0,0.001098,0
151,,,other,47344,3051,854,2312,50,0,7,7,3,0.714286,0.833333,0,100,0,0.000509,0
159,,,other,2418,5566,1143,44718,13,0,1,1,2,0.666667,0.75,0,113,0,0.000872,0
160,,,other,24871,73407,4708,7614,1599,0,16,16,2,0.766667,0.847826,0,146,0,0.002169,0
161,,,other,171017,4941,700,50292,67,0,1,1,1,1,1,0,137,0,0.000084,0
162,,,other,3622,212729,181,277,1219,0,7,7,3,0.576923,0.7,0,68,0,0.000877,0
163,,,other,96041,39725,1264,636,1574,0,7,7,18,0.113042,0.152871,0,146,0,0.000456,0
164,,,other,7448,10588,260,131,444,0,1,1,1,1,1,0,68,0,0.000009,0
168,,,other,55545,262320,9982,0,3143,0,38,38,15,0.156863,0.234514,0,146,0,0.00434,0
171,,,other,1170,860,465,358,16,0,1,1,1,1,1,0,125,0,0.000006,0
178,,,normal,16941,10376,1597,1244,752,1,0,1,0,0,0,0,146,0.000072,0,0.000143
180,,,other,89804,3685594,578,13348,14606,0,2,2,1,1,1,0,165,0,0.001129,0
183,,,normal,1750,2732,940,2500,27,0,1,1,1,1,1,0,68,0,0.000004,0.000139
190,,,other,16686,8751,5791,135477,500,0,2,2,3,0.5,0.583333,0,39,0,0.000015,0
192,,,normal,5172,7679358,268,145,1769,0,10,10,18,0.08914,0.117734,0,27,0,0.000179,0.000139
193,,,other,69738,21407,2170,9784,641,0,1,1,1,1,1,0,111,0,0.000016,0
195,,,other,111089,1115,460,9611,109,0,3,3,1,1,1,0,137,0,0.000547,0
196,,,other,41696,18929,5366,10269,117,0,2,2,1,1,1,0,137,0,0.000259,0
199,,,normal,29495,3206,356,2469,71,0,0,0,0,0,0,0,68,0,0,0.000139
200,,,other,55547,3151,448,773,78,0,1,1,6,0.285714,0.361667,0,137,0,0.000137,0
201,,,other,7430,72789,2093,1892,440,0,4,4,16,0.13447,0.17106,0,146,0,0.000179,0
202,,,other,6721,17606,264,10550,45,0,3,3,2,0.8,0.875,0,20,0,0.000531,0
204,,,other,161,1288,281,911,21,0,1,1,2,0.666667,0.75,0,137,0,0.000005,0
205,,,other,12185,5678967,798,22018,11438,0,3,3,14,0.163648,0.197819,0,146,0,0.000198,0
206,,,other,21323,964,811,889,19,0,3,3,1,1,1,0,137,0,0.000309,0
210,,,other,216150,1187,491,28553,2,0,1,1,1,1,1,0,137,0,0.000029,0
213,,,other,4212,4934,821,4216,325,0,1,1,1,1,1,0,68,0,0.00002,0
214,,,other,39289,13101,571,76277,147,0,3,3,1,1,1,0,137,0,0.000445,0
224,,,other,7644,13556,2813,14170,97,0,5,5,1,1,1,0,137,0,0.000793,0
226,,,other,65694,79877,3339,3915,616,0,1,1,2,0.666667,0.75,0,137,0,0.000024,0
228,,,other,6127,22644,3210,10472,570,0,1,1,2,0.571429,0.625,0,146,0,0.000267,0
229,,,other,513350,17851,3059,23648,498,0,2,2,2,0.75,0.833333,0,27,0,0.000044,0
231,,,other,16660,6311,2240,1148,204,0,1,1,1,1,1,0,53,0,0.00002,0
232,,,other,26156,55867,2639,7464,1264,0,5,5,2,0.647059,0.727273,0,146,0,0.000332,0
236,,,other,113616,651988,3902,41320,7807,0,13,13,11,0.216797,0.285012,0,113,0,0.012994,0
237,,,other,2092,4687,279,47,24,0,1,1,1,1,1,0,97,0,0.000017,0
238,,,other,29765,1547,175,20523,31,0,2,2,1,1,1,0,20,0,0.000153,0
241,,,other,14464,24010,6683,19933,39,0,9,9,5,0.367647,0.554667,0,113,0,0.017166,0
248,,,other,12720,4598,946,9591,16,0,1,1,1,1,1,0,97,0,0.000016,0
250,,,other,19085,565926,936,12735,1656,0,4,4,1,1,1,0,27,0,0.000023,0
254,,,other,22018,165080,4288,890,3908,0,1,1,1,1,1,0,111,0,0.000034,0
258,,,other,25601,291432,263784,3075,1812,0,29,29,9,0.245327,0.43853,0,146,0,0.006058,0
264,,,other,66265,222533,437,556,1297,0,1,1,1,1,1,0,68,0,0.000002,0
269,,,normal,5348,7061,5928,21727,74,8,2,10,1,1,1,73.512338,113,0.080059,0.042948,0.000934
271,,,other,34934,3130,1084,43749,47,0,1,1,1,1,1,0,123,0,0.000018,0
273,,,other,6406,84917,172,9352,450,0,1,1,1,1,1,0,137,0,0.000173,0
276,,,other,4836,6373,616,2567,220,0,1,1,1,1,1,0,95,0,0,0
279,,,normal,199,611,165,55,4,0,1,1,1,1,1,0,55,0,0,0.000139
281,,,other,157086,1520347,317,1370,26027,0,5,5,2,0.857143,0.916667,0,137,0,0.000695,0
284,,,other,8836,36135,354,42,298,0,1,1,1,1,1,0,27,0,0.000025,0
287,,,other,1178,1263,1382,872,21,0,1,1,1,1,1,0,112,0,0,0
288,,,other,7806,18292,19057,55140,135,0,1,1,12,0.13405,0.15604,0,39,0,0.00003,0
292,,,other,2774,279957,151,323,768,0,21,21,22,0.078116,0.120573,0,137,0,0.003232,0
293,,,other,6135,9914,8448,2630,172,0,1,1,1,1,1,0,146,0,0.000042,0
295,,,other,38837,1632,1194,28166,56,0,2,2,1,1,1,0,137,0,0.000193,0
298,,,other,111708,9039,9888,69538,105,0,1,1,15,0.125261,0.155282,0,113,0,0.003009,0
300,,,other,39151,2327,701,842,62,0,1,1,3,0.454545,0.533333,0,137,0,0.000085,0
301,,,other,5125,5626,748,20068,122,0,7,7,2,0.888889,0.9375,0,137,0,0.001211,0
302,,,other,1339,215,250,1968,12,0,1,1,3,0.5,0.583333,0,97,0,0,0
303,,,other,53,99,72,210,4,0,1,1,9,0.188406,0.230759,0,53,0,0.000012,0
304,,,other,13881,9913,1534,3709,112,0,1,1,1,1,1,0,53,0,0.000005,0
306,,,other,18367,28729,355,267,586,0,1,1,1,1,1,0,68,0,0.000006,0
309,,,other,95035,36823,11140,92169,176,0,2,2,13,0.168242,0.218544,0,113,0,0.004069,0
310,,,other,45362,18420,3631,2481,422,0,1,1,2,0.666667,0.75,0,111,0,0.000018,0
317,,,other,710515,3782,871,3490,179,0,1,1,1,1,1,0,137,0,0.000085,0
318,,,other,1174,2733,65,164,26,0,1,1,1,1,1,0,70,0,0.000001,0
319,,,other,88452,21285,2367,6836,439,0,1,1,1,1,1,0,111,0,0.000015,0
323,,,other,55031,47527,1405,1071,993,0,1,1,1,1,1,0,123,0,0.000021,0
325,,,other,379,15510,8952,5899,373,0,10,10,4,0.488372,0.654762,0,137,0,0.00192,0
327,,,normal,399,3834,3488,18882,53,0,0,0,0,0,0,0,113,0,0,0.000139
329,,,other,124573,167210,128105,461,2058,0,4,4,3,0.636364,0.761905,0,130,0,0.000026,0
333,,,other,24209,3315,1347,16504,1,0,1,1,1,1,1,0,97,0,0.000002,0
336,,,other,5793,936,1505,10149,11,0,1,1,3,0.5,0.566667,0,111,0,0,0
337,,,other,42601,1463447,2555,386506,17639,0,11,11,3,0.708333,0.813725,0,146,0,0.001319,0
339,,,other,18137,360,446,11743,3,0,1,1,3,0.5,0.537037,0,125,0,0.00005,0
354,,,normal,44625,1465,880,1056,10,0,0,0,0,0,0,0,137,0,0,0.000139
356,,,other,8157,3724,3059,4084,6,0,2,2,2,0.75,0.833333,0,137,0,0.000123,0
357,,,other,19457,126,192,8106,9,0,1,1,2,0.666667,0.75,0,20,0,0.00001,0
358,,,other,19261,10826,814,3859,583,0,1,1,1,1,1,0,146,0,0.000031,0
360,,,other,291,96847,449,1581,373,0,1,1,2,0.666667,0.75,0,137,0,0.000311,0
361,,,other,16162,37542,2032,4403,701,0,2,2,1,1,1,0,111,0,0,0
362,,,other,27716,36673,591,1242,1388,0,2,2,1,1,1,0,123,0,0.000246,0
365,,,other,15985,558821,479,3116,1213,0,1,1,1,1,1,0,68,0,0.000008,0
367,,,other,19535,2248,439,12889,95,0,17,17,3,0.766667,0.862319,0,146,0,0.002469,0
368,,,other,141176,7345,1130,3472,51,0,1,1,2,0.666667,0.75,0,137,0,0.000094,0
372,,,other,71613,9028,36,29115,116,0,3,3,1,1,1,0,137,0,0.000348,0
374,,,other,46463,7800,1691,511,249,0,2,2,1,1,1,0,146,0,0.000066,0
379,,,other,24014,6132,938,21338,273,0,1,1,1,1,1,0,146,0,0.000381,0
386,,,other,12792,1870640,937,2486,20746,0,3,3,2,0.8,0.875,0,53,0,0.000003,0
388,,,other,5150,3977,923,1147,242,0,5,5,19,0.10846,0.130266,0,146,0,0.000601,0
389,,,other,25197,42198,993,649,1082,0,1,1,1,1,1,0,53,0,0.000024,0
390,,,other,5933,7942,311,1304,84,0,11,11,19,0.107188,0.136431,0,146,0,0.001788,0
393,,,other,1520,1232,451,3005,33,0,1,1,2,0.666667,0.75,0,123,0,0.000009,0
394,,,other,9549,46481,753,596,874,0,4,4,1,1,1,0,111,0,0.000058,0
395,,,other,8531,185376,123781,127,237,0,3,3,3,0.555556,0.633333,0,137,0,0.000249,0
396,,,other,21040,131510,148,8366,3277,0,3,3,2,0.666667,0.75,0,146,0,0.000147,0
398,,,normal,652,3599,519,61,36,1,1,2,1,1,1,0,111,0,0.000009,0.000976
400,,,other,44548,8697,3285,53768,75,0,6,6,2,0.8,0.875,0,39,0,0.00018,0
405,,,hateful,2450,2745,275,5007,11,0,2,2,20,0.092902,0.11631,0,113,0,0.000811,0
406,,,other,3452,39986,1517,88,245,0,1,1,1,1,1,0,137,0,0.000118,0
409,,,other,15926,569,458,4747,0,0,1,1,1,1,1,0,137,0,0.00008,0
412,,,other,28611,1166015,537,2370,8325,0,6,6,19,0.100562,0.123594,0,68,0,0.00149,0
420,,,other,15626,2610,1999,5169,120,0,1,1,1,1,1,0,53,0,0.000009,0
421,,,other,115883,83031,831,76701,490,0,1,1,1,1,1,0,137,0,0.000041,0
424,,,other,7145,11250,11,0,102,0,6,6,3,0.727273,0.854167,0,137,0,0.000374,0
425,,,other,271,409,427,2341,1,0,1,1,1,1,1,0,97,0,0.000001,0
426,,,normal,3354,329,339,694,4,0,0,0,0,0,0,0,137,0,0,0.000139
427,,,other,1054,2554,585,1916,5,0,1,1,1,1,1,0,130,0,0,0
433,,,other,1351,279,252,774,6,0,2,2,1,1,1,0,111,0,0.000086,0
435,,,other,2653,387428,165,647,477,0,7,7,10,0.181818,0.324235,0,137,0,0.00123,0
437,,,other,21859,9499,455,74,159,0,1,1,2,0.666667,0.75,0,68,0,0.000001,0
439,,,normal,6273,822,196,1856,10,1,0,1,0,0,0,0,112,0,0,0.00026
448,,,other,355,637,1528,697,3,0,1,1,1,1,1,0,113,0,0.000111,0
455,,,other,16416,7157,934,14593,14,0,3,3,1,1,1,0,137,0,0.000554,0
458,,,other,7257,8803,786,35729,191,0,2,2,1,1,1,0,111,0,0.000043,0
474,,,other,3735,5493,204,5821,24,0,1,1,2,0.666667,0.75,0,123,0,0.000137,0
481,,,other,39835,176630,2450,1406,2971,0,12,12,2,0.75,0.833333,0,146,0,0.002069,0
484,,,other,17022,1983,1843,3688,2,0,1,1,1,1,1,0,137,0,0.00001,0
490,,,other,12647,104797,1036,229,1156,0,2,2,4,0.470588,0.572917,0,111,0,0.000006,0
493,,,other,48190,1170945,93,1614,4891,0,1,1,1,1,1,0,39,0,0.000011,0
494,,,other,4094,203368,437,24656,1813,0,5,5,5,0.46875,0.542778,0,111,0,0.000189,0
502,,,other,7445,9773,243,22466,289,0,3,3,2,0.666667,0.75,0,97,0,0.000461,0
504,,,other,690,1824,1359,878,116,0,1,1,1,1,1,0,146,0,0.000101,0
507,,,other,7140,12599,233,7069,250,0,2,2,1,1,1,0,111,0,0.000144,0
509,,,other,26211,1980,390,43069,21,0,1,1,2,0.666667,0.75,0,146,0,0.000006,0
510,,,other,7339,8230,2501,7366,120,0,2,2,1,1,1,0,146,0,0.000178,0
511,,,other,52059,190811,17339,207,448,0,7,7,3,0.666667,0.777778,0,137,0,0.001057,0
512,,,other,14258,6600,139,922,106,0,2,2,2,0.75,0.833333,0,113,0,0.002599,0
518,,,normal,209255,1694,1300,12882,27,0,0,0,0,0,0,0,137,0,0,0.000139
519,,,other,8626,771563,31525,16043,1147,0,20,20,3,0.806452,0.893333,0,137,0,0.002641,0
522,,,other,30831,34142,1035,41514,196,0,1,1,1,1,1,0,146,0,0.000078,0
528,,,hateful,115806,4897,4990,90041,126,0,1,1,1,1,1,0,113,0,0.001313,0
532,,,other,15769,8588,802,1221,114,0,1,1,1,1,1,0,68,0,0,0
535,,,other,69832,4920,261,1359,148,0,1,1,1,1,1,0,113,0,0.000154,0
536,,,other,12450,22915,176,16742,53,0,1,1,2,0.666667,0.75,0,68,0,0.000002,0
542,,,normal,2369,267,918,289,0,0,0,0,0,0,0,0,68,0,0,0.000139
543,,,other,9360,4006,868,3758,237,0,1,1,1,1,1,0,146,0,0.000038,0
545,,,normal,365,498,375,206,28,0,0,0,0,0,0,0,146,0,0,0.000139
547,,,normal,9434,4595,998,2904,181,0,1,1,1,1,1,0,146,0,0,0.000139
548,,,other,7708,11532,2145,1262,467,0,2,2,18,0.107128,0.126646,0,146,0,0.000043,0
550,,,other,3941,773,819,1784,5,0,1,1,1,1,1,0,137,0,0.000052,0
552,,,other,150307,14081,413,10843,133,0,3,3,3,0.487179,0.54386,0,137,0,0.000224,0
555,,,other,1115,47972,48689,210,204,0,2,2,1,1,1,0,111,0,0.000255,0
556,,,other,73250,1690,238,3335,28,0,2,2,2,0.75,0.833333,0,53,0,0.000138,0
563,,,other,11513,2050,924,8964,84,0,2,2,1,1,1,0,112,0,0.000208,0
564,,,other,15188,161730,515,13884,2188,0,34,34,9,0.251748,0.463386,0,146,0,0.005855,0
567,,,normal,79311,26916,461,9521,247,1,1,2,1,1,1,1,97,0,0,0.000256
569,,,other,158848,1462,464,2847,55,0,1,1,1,1,1,0,137,0,0.000118,0
570,,,other,70377,1499,4160,97344,172,0,1,1,1,1,1,0,113,0,0.000341,0
571,,,other,2452,181365,188,17,306,0,5,5,2,0.857143,0.916667,0,137,0,0.000941,0
580,,,normal,2113,3413,1952,424,45,0,0,0,0,0,0,0,39,0,0,0.000139
581,,,other,9643,756,574,4635,1,0,1,1,1,1,1,0,137,0,0.000037,0
582,,,other,32259,10868,581,892,478,0,1,1,1,1,1,0,68,0,0.000046,0
583,,,normal,49518,1667,1331,26758,7,1,1,2,2,0.666667,0.75,2,137,0.000001,0,0.000152
586,,,other,11734,2103550,290,35,9720,0,1,1,2,0.666667,0.75,0,111,0,0,0
588,,,normal,84357,18618,9434,10482,916,3,3,6,3,0.545455,0.694444,4,130,0,0,0.000743
590,,,other,6979,111627,419,601,467,0,8,8,2,0.7,0.785714,0,137,0,0.000864,0
593,,,other,11259,11942,1206,1082,362,0,2,2,1,1,1,0,111,0,0.000131,0
594,,,other,14266,12732,1456,15514,127,0,1,1,1,1,1,0,137,0,0.000005,0
595,,,normal,32340,2085,2892,11087,22,0,0,0,0,0,0,0,137,0,0,0.000139
604,,,other,13685,694,648,11114,2,0,1,1,6,0.303279,0.364414,0,137,0,0.000017,0
608,,,other,6853,2363,598,1825,40,0,1,1,1,1,1,0,27,0,0.000011,0
612,,,other,10897,2300,3166,6871,2,0,1,1,1,1,1,0,97,0,0.000002,0
613,,,other,29580,8458,147,88446,247,0,1,1,1,1,1,0,137,0,0.000203,0
615,,,normal,3804,3657,2047,2344,114,0,0,0,0,0,0,0,123,0,0,0.000139
616,,,other,15485,21616,2936,7819,102,0,1,1,1,1,1,0,137,0,0.00005,0
623,,,other,7850,3335,1001,892,122,0,1,1,1,1,1,0,146,0,0.000104,0
624,,,other,92233,32630,6210,78704,246,0,13,13,10,0.192229,0.266394,0,113,0,0.032898,0
625,,,other,6976,21979,2476,910,883,0,2,2,2,0.625,0.7,0,146,0,0.000099,0
628,,,other,53285,748970,1392,8522,280,0,2,2,1,1,1,0,137,0,0.000201,0
633,,,normal,568,531,2465,1961,16,1,1,2,17,0.117577,0.138999,0,146,0.000001,0.000003,0.000415
636,,,other,10066,180086,11337,1818,681,0,4,4,15,0.116924,0.144761,0,137,0,0.000664,0
642,,,other,11263,165750,593,21516,129,0,1,1,1,1,1,0,137,0,0.000049,0
643,,,other,17599,85925,1553,4361,2034,0,1,1,14,0.146285,0.19132,0,113,0,0.00166,0
645,,,normal,9449,3302,885,6576,124,0,0,0,0,0,0,0,0,0,0,0.000139
652,,,other,123812,27792,992,9403,453,0,1,1,1,1,1,0,146,0,0.000038,0
653,,,normal,42405,824,674,23907,6,2,0,2,0,0,0,0,137,0.000042,0,0.000154
655,,,other,116271,120203,478,3768,1529,0,1,1,1,1,1,0,68,0,0.000021,0
656,,,other,9911,724324,105,200,1838,0,5,5,2,0.857143,0.916667,0,68,0,0.000494,0
665,,,other,25241,481284,9,35709,998,0,9,9,3,0.705882,0.847222,0,137,0,0.001696,0
666,,,other,90156,9317,1677,13473,115,0,1,1,4,0.4,0.520833,0,27,0,0,0
672,,,normal,73868,16168,5772,7116,312,0,1,1,3,0.485714,0.509804,0,68,0,0,0.000139
673,,,normal,9557,183436,445,492,716,1,2,3,1,1,1,4,100,0,0,0.000248
674,,,other,6327,1496,1602,6661,11,0,2,2,2,0.625,0.7,0,39,0,0.000017,0
676,,,other,17474,54610,1553,3075,2524,0,1,1,2,0.666667,0.75,0,146,0,0.000002,0
679,,,other,50816,1068238,1191,11494,6948,0,12,12,3,0.73913,0.843137,0,113,0,0.005258,0
680,,,other,26351,155972,2334,6071,2133,0,3,3,2,0.714286,0.8,0,146,0,0.00014,0
682,,,other,640925,5750,2236,8774,123,0,7,7,3,0.463415,0.596491,0,137,0,0.000887,0
684,,,other,15443,93604,577,2922,1058,0,1,1,1,1,1,0,53,0,0.000019,0
687,,,other,115852,43177,443,27760,225,0,3,3,3,0.6,0.722222,0,97,0,0.000375,0
688,,,other,40686,6253,1744,49083,208,0,1,1,1,1,1,0,146,0,0.00029,0
690,,,other,3675,5509,0,89,155,0,12,12,6,0.380952,0.462292,0,137,0,0.001912,0
692,,,other,21980,126215,961,1949,626,0,2,2,1,1,1,0,20,0,0.000051,0
693,,,other,343,35264,32664,44,339,0,4,4,1,1,1,0,137,0,0.000754,0
694,,,other,5260,2029,1712,7733,51,0,2,2,1,1,1,0,111,0,0.000062,0
698,,,other,23557,14460,544,3978,936,0,1,1,1,1,1,0,68,0,0.000041,0
702,,,other,282,315,171,12307,5,0,1,1,1,1,1,0,39,0,0.000078,0
709,,,normal,2741,2981064,14885,1102,15668,0,2,2,1,1,1,0,70,0,0,0.000139
711,,,other,3449,2535,727,1315,100,0,2,2,16,0.125664,0.14511,0,146,0,0.000274,0
712,,,other,6216,2529,1217,23298,54,0,2,2,1,1,1,0,146,0,0.000511,0
714,,,other,145702,20321,4262,15791,1889,0,4,4,3,0.571429,0.708333,0,130,0,0.000007,0
718,,,hateful,8715,1681,430,17080,11,0,8,8,14,0.15757,0.228579,0,113,0,0.004742,0
722,,,other,284074,21346,185,150934,270,0,1,1,1,1,1,0,137,0,0.000173,0
725,,,other,6340,3727,480,3503,85,0,3,3,1,1,1,0,146,0,0.00027,0
728,,,other,59704,5153524,197,17,50066,0,9,9,1,1,1,0,125,0,0.000332,0
729,,,other,19421,17794,2542,15340,303,0,1,1,4,0.375,0.458333,0,146,0,0.000017,0
730,,,other,27490,59716,745,704,650,0,4,4,3,0.666667,0.805556,0,111,0,0.00018,0
731,,,other,12025,7342,597,51411,129,0,3,3,2,0.8,0.875,0,39,0,0.00002,0
736,,,other,33957,8994,821,18924,244,0,7,7,9,0.18169,0.214229,0,123,0,0.000402,0
737,,,other,9319,6199,2733,10446,46,0,2,2,15,0.127325,0.154149,0,113,0,0.00138,0
741,,,other,60404,6362,1961,7192,242,0,4,4,2,0.75,0.833333,0,146,0,0.001389,0
744,,,other,258,61083,63,8,992,0,1,1,18,0.116843,0.133368,0,146,0,0.000624,0
748,,,other,95103,6826,796,29556,124,0,1,1,1,1,1,0,111,0,0.000043,0
752,,,other,67406,430,175,26579,25,0,1,1,15,0.118121,0.140354,0,137,0,0.000019,0
754,,,other,2829,130351,91681,21455,922,0,20,20,5,0.522124,0.633333,0,137,0,0.003079,0
755,,,other,747,1676,28,110,6,0,1,1,1,1,1,0,1,0,0,0
759,,,other,15004,1800,470,43214,18,0,7,7,10,0.195147,0.241525,0,113,0,0.000838,0
761,,,other,8368,22174,1635,17226,227,0,3,3,17,0.112534,0.129549,0,68,0,0.001985,0
762,,,other,91395,2733,672,23718,13,0,1,1,1,1,1,0,137,0,0.000159,0
763,,,other,35892,25113,1890,4859,456,0,4,4,2,0.833333,0.9,0,111,0,0.000104,0
766,,,other,16354,534440,1417,1615,1318,0,3,3,2,0.636364,0.714286,0,68,0,0.000118,0
770,,,other,27739,5271,262,31070,57,0,12,12,11,0.202085,0.269651,0,113,0,0.005406,0
774,,,other,168325,16390,15962,96969,146,0,6,6,12,0.137143,0.178018,0,111,0,0.000328,0
779,,,other,124316,39991,5786,74791,610,0,16,16,10,0.240876,0.338051,0,113,0,0.026086,0
783,,,other,7557,31598,722,19858,298,0,1,1,1,1,1,0,53,0,0.00004,0
787,,,normal,616,123,125,1163,17,0,0,0,0,0,0,0,111,0,0,0.000139
792,,,other,184,208181,168,3,1088,0,22,22,19,0.101012,0.15289,0,53,0,0.000702,0
794,,,other,9771,72835,79,0,1439,0,2,2,9,0.192308,0.24999,0,53,0,0.0001,0
799,,,other,14438,864,390,18846,5,0,1,1,1,1,1,0,70,0,0,0
800,,,other,2213,667,964,3206,18,0,3,3,10,0.180747,0.226691,0,113,0,0.00076,0
801,,,normal,2933,2544,1686,584,26,1,0,1,0,0,0,0,27,0,0,0.000155
809,,,other,17987,13271,2030,38480,252,0,1,1,2,0.666667,0.75,0,20,0,0.000003,0
811,,,other,2054,383,1043,5378,9,0,1,1,1,1,1,0,146,0,0.000018,0
814,,,other,29935,287943,3381,35580,454,0,1,1,2,0.666667,0.75,0,137,0,0.000096,0
