Id,hate,statuses_count,followers_count,followees_count,favorites_count,listed_count,sentiment,subjectivity,number hashtags,tweet number,retweet number,quote number,status length,number urls,baddies
85,normal,49169,2321,206,24755,37,0.132178733,0.471054212,21,143,57,14,98.165,115,11
86,other,1352,2338,1003,964,19,0.039615557,0.416417017,88,53,146,27,119.3919598,130,29
90,other,330,2839,2152,286,42,0.179294061,0.570712307,185,136,64,49,169.74,269,31
96,other,23947,47443,4599,50388,264,0.099658264,0.515578139,9,53,145,10,105.2020202,153,56
99,normal,4176,204,908,3745,1,0.029900527,0.454871795,18,145,55,39,129.805,130,39
100,normal,1084,20164,498,5,475,0.167752022,0.447951102,86,150,50,24,148.105,222,28
102,other,246062,19950,13485,24886,2441,0.318726789,0.563951181,429,12,188,1,139.68,340,12
103,other,91713,19010,17432,609,251,0.029599805,0.476060923,485,200,0,10,118.345,227,17
112,other,123507,3769,2735,42894,114,0.010473859,0.520472276,13,134,66,20,104.55,92,26
116,other,4493,3458,586,3042,46,0.200926933,0.469002003,10,138,62,15,113.065,275,10
118,normal,21291,172481,362,2439,541,0.170664365,0.58931542,27,190,10,31,93.12,112,33
119,normal,8744,291,309,16250,3,0.065478369,0.562676821,22,133,67,19,78.695,132,31
120,other,40719,910,599,13190,6,0.117870663,0.531117944,5,92,106,47,93.29292929,173,44
121,other,12473,3331,448,24236,76,0.208935581,0.58371156,1,84,115,25,72.13065327,117,33
124,normal,49730,7081,5517,103406,1322,0.218848635,0.511559439,218,74,126,38,147.53,231,11
127,normal,2611,722,700,1726,47,0.070668564,0.451367912,53,134,66,21,124.84,205,28
128,other,18117,493343,20,7734,1290,,,,,,,,,
129,other,184976,5647,6167,66389,244,0.103773576,0.522851469,61,92,108,0,160.03,158,18
131,other,29483,3022,108,25123,3,0.077643098,0.486835017,69,46,153,2,123.2964824,78,0
133,other,5999,623,395,4760,11,0.088625956,0.495371132,4,15,180,0,80.53333333,43,17
138,other,11512,10950,1151,3698,664,0.160053948,0.493696442,141,173,27,0,120.865,221,6
140,other,6260,13983,274,52186,127,0.105548644,0.442767763,7,88,110,21,117.2222222,139,24
142,normal,504,123,141,6139,0,0.059004399,0.494056523,2,81,119,18,80.755,126,44
146,other,52435,81332,752,11961,2543,0.136569247,0.538488508,11,159,41,7,105,152,21
149,other,2107,1249,391,918,24,0.053553566,0.403781049,124,145,55,23,129.08,185,22
150,other,12980,131560,823,7065,360,0.226747151,0.536863587,41,124,75,2,81.81909548,186,9
151,other,47344,3051,854,2312,50,0.082030317,0.535115996,17,99,101,29,89.965,127,15
159,other,2418,5566,1143,44718,13,0.019026015,0.545657545,120,175,25,118,196.645,284,66
160,other,24871,73407,4708,7614,1599,0.100776356,0.460967439,16,94,106,41,155.21,190,22
161,other,171017,4941,700,50292,67,0.043614481,0.600551727,5,56,140,19,83.58163265,138,65
162,other,3622,212729,181,277,1219,0.122776763,0.430922753,203,46,154,10,115.24,196,13
163,other,96041,39725,1264,636,1574,0.118312368,0.532603149,2,160,40,31,130,167,23
164,other,7448,10588,260,131,444,0.030254826,0.357258358,80,155,45,0,130.84,233,26
168,other,55545,262320,9982,0,3143,0.083942634,0.510051206,43,148,52,43,149.245,203,10
171,other,1170,860,465,358,16,0.186659355,0.506800796,116,187,13,8,57.545,55,15
178,normal,16941,10376,1597,1244,752,0.068058447,0.461570902,3,121,79,24,129.12,187,17
180,other,89804,3685594,578,13348,14606,0.087316306,0.518820779,39,183,17,1,111.63,375,20
183,normal,1750,2732,940,2500,27,0.161249746,0.456187678,72,65,134,13,77.6281407,153,3
190,other,16686,8751,5791,135477,500,0.048652908,0.53223116,3,29,171,1,96.495,26,28
192,normal,5172,7679358,268,145,1769,0.41851287,0.546001795,70,194,6,179,182.52,294,7
193,other,69738,21407,2170,9784,641,0.049523445,0.513434287,7,144,56,27,109.655,127,24
195,other,111089,1115,460,9611,109,0.071124264,0.503345802,17,60,140,35,105.565,198,32
196,other,41696,18929,5366,10269,117,0.0154136,0.549171861,5,88,110,3,63.09090909,93,51
199,normal,29495,3206,356,2469,71,0.126063697,0.380356867,8,192,8,29,115.505,71,34
200,other,55547,3151,448,773,78,0.098757259,0.534272329,25,146,54,71,111.635,178,47
201,other,7430,72789,2093,1892,440,0.142709027,0.474235391,26,179,21,19,118.525,121,22
202,other,6721,17606,264,10550,45,0.072320766,0.519682725,2,160,40,1,89.89,74,23
204,other,161,1288,281,911,21,0.275089351,0.532803198,91,133,28,15,96.40993789,114,18
205,other,12185,5678967,798,22018,11438,0.189287056,0.564001892,20,167,33,25,117.205,81,51
206,other,21323,964,811,889,19,0.114284792,0.555312189,8,67,128,15,67.81025641,111,22
210,other,216150,1187,491,28553,2,0.117273676,0.503497381,18,112,86,13,69.62121212,105,21
213,other,4212,4934,821,4216,325,0.104018365,0.480365532,292,175,25,7,147.785,147,16
214,other,39289,13101,571,76277,147,0.091891145,0.499992935,4,101,94,13,101.1641026,107,33
224,other,7644,13556,2813,14170,97,0.164415786,0.61595725,1,94,104,10,77.11616162,61,62
226,other,65694,79877,3339,3915,616,0.213265064,0.514640794,62,193,7,0,96.275,202,7
228,other,6127,22644,3210,10472,570,0.078277399,0.550743838,19,100,100,64,159.91,240,38
229,other,513350,17851,3059,23648,498,0.004773199,0.429011334,41,58,142,17,117.35,104,12
231,other,16660,6311,2240,1148,204,0.227698371,0.426797117,192,111,89,15,144.12,205,26
232,other,26156,55867,2639,7464,1264,0.036933474,0.464105379,77,135,65,15,110.68,193,20
236,other,113616,651988,3902,41320,7807,0.043693677,0.50862425,26,166,34,22,110.13,91,18
237,other,2092,4687,279,47,24,0.094310046,0.476970301,262,101,99,36,143.48,219,26
238,other,29765,1547,175,20523,31,0.161495261,0.498864977,14,132,68,8,100.6,100,27
241,other,14464,24010,6683,19933,39,0.114008641,0.528154023,83,146,54,15,102.945,110,24
248,other,12720,4598,946,9591,16,0.097575747,0.520987935,51,145,55,5,77.38,40,13
250,other,19085,565926,936,12735,1656,0.048532231,0.474727917,80,65,134,15,120.8894472,162,18
254,other,22018,165080,4288,890,3908,0.011022375,0.450124811,15,180,20,0,120.68,201,6
258,other,25601,291432,263784,3075,1812,0.034891922,0.484206561,14,199,1,0,106.01,41,22
259,other,52223,2255,456,60562,68,-0.069715877,0.534374763,19,132,67,44,80.55276382,141,30
264,other,66265,222533,437,556,1297,0.107953943,0.538062519,94,132,68,67,122.89,189,19
269,normal,5348,7061,5928,21727,74,0.035589732,0.510345834,49,56,144,25,126.38,120,24
271,other,34934,3130,1084,43749,47,0.134158451,0.549691266,0,187,13,5,71.515,44,32
273,other,6406,84917,172,9352,450,0.129596821,0.513437695,3,191,9,3,58.95,19,15
276,other,4836,6373,616,2567,220,0.251484536,0.513738214,241,171,29,2,149.93,318,11
279,normal,199,611,165,55,4,0.195017785,0.463651993,228,157,42,51,149.6884422,239,8
281,other,157086,1520347,317,1370,26027,0.120746734,0.561857113,12,197,3,1,105.97,393,11
284,other,8836,36135,354,42,298,0.015839196,0.432761304,22,129,71,20,119.88,141,10
287,other,1178,1263,1382,872,21,0.214386843,0.51593681,61,126,74,4,144.165,279,17
288,other,7806,18292,19057,55140,135,0.059390057,0.537316415,32,200,0,1,102.14,201,11
292,other,2774,279957,151,323,768,0.129251281,0.573078654,1,196,3,0,69.87939698,198,27
293,other,6135,9914,8448,2630,172,0.061756036,0.501979039,120,161,39,48,145.795,99,36
295,other,38837,1632,1194,28166,56,0.085020305,0.530794991,11,54,144,27,72.94444444,145,67
297,other,75769,3887,3811,703,52,0.10676707,0.485883864,256,18,182,0,143.655,204,8
298,other,111708,9039,9888,69538,105,0.083770667,0.50131253,143,8,192,0,123.225,173,28
300,other,39151,2327,701,842,62,0.161237778,0.526980358,49,144,56,32,99.115,147,27
301,other,5125,5626,748,20068,122,0.062670294,0.450779441,17,180,20,29,82.695,118,13
302,other,1339,215,250,1968,12,0.087298872,0.496662477,327,156,43,13,98.44221106,106,10
303,other,53,99,72,210,4,0.215574249,0.477330447,111,27,26,2,152.5660377,46,1
304,other,13881,9913,1534,3709,112,0.049313849,0.431292506,137,85,115,4,136.41,117,17
306,other,18367,28729,355,267,586,0.047976152,0.495242638,2,174,26,3,97.37,230,8
309,other,95035,36823,11140,92169,176,0.082299265,0.524380485,226,7,193,0,142.4,195,20
310,other,45362,18420,3631,2481,422,0.122162789,0.454107401,91,59,141,10,133.31,185,6
317,other,710515,3782,871,3490,179,0.100839179,0.482143944,2,108,92,22,60.39,84,25
318,other,1174,2733,65,164,26,0.156081291,0.415332352,17,90,110,2,104.325,296,14
319,other,88452,21285,2367,6836,439,0.097936094,0.465404319,26,128,72,21,135.895,171,14
323,other,55031,47527,1405,1071,993,0.107423279,0.482042141,42,150,50,11,129.565,115,57
325,other,379,15510,8952,5899,373,0.086640154,0.564636603,4,194,3,7,81.95939086,35,33
327,normal,399,3834,3488,18882,53,0.404811121,0.612488703,260,191,9,2,120.49,278,2
329,other,124573,167210,128105,461,2058,0.269381054,0.550409171,449,7,193,0,141.73,356,7
333,other,24209,3315,1347,16504,1,-0.044791667,0.49375,74,27,173,2,120.385,131,6
336,other,5793,936,1505,10149,11,0.185686559,0.473945527,91,75,124,24,123.5427136,171,25
337,other,42601,1463447,2555,386506,17639,0.096248071,0.5213996,20,92,108,30,113.295,160,36
339,other,18137,360,446,11743,3,0.147860664,0.541871604,35,96,104,20,71.33,137,22
354,normal,44625,1465,880,1056,10,0.033622397,0.529669876,6,108,92,45,94.78,132,58
356,other,8157,3724,3059,4084,6,0.092648331,0.533897373,0,26,174,1,56.06,143,26
357,other,19457,126,192,8106,9,0.176215392,0.499367656,21,144,56,4,67.94,97,12
358,other,19261,10826,814,3859,583,0.057190558,0.514260529,5,180,20,6,125.41,83,13
360,other,291,96847,449,1581,373,0.21049452,0.516591472,60,141,59,2,70.11,90,4
361,other,16162,37542,2032,4403,701,0.215077241,0.433797953,214,100,100,10,144.375,272,13
362,other,27716,36673,591,1242,1388,0.036575799,0.426395529,21,200,0,12,133.74,217,15
365,other,15985,558821,479,3116,1213,0.163204838,0.477981152,137,162,38,5,120.375,257,11
367,other,19535,2248,439,12889,95,0.090687731,0.55151298,18,147,53,7,102.005,78,23
368,other,141176,7345,1130,3472,51,0.107247111,0.571333916,19,129,70,6,62.92462312,59,15
372,other,71613,9028,36,29115,116,0.0657498,0.553434851,7,125,74,24,68.52261307,89,92
374,other,46463,7800,1691,511,249,0.166914867,0.555841523,55,171,29,30,127.455,120,35
379,other,24014,6132,938,21338,273,0.116413467,0.556187191,24,138,62,12,86.83,125,29
386,other,12792,1870640,937,2486,20746,0.142033455,0.4369818,126,128,72,5,145.275,255,12
388,other,5150,3977,923,1147,242,0.033017973,0.474488471,12,87,113,4,116.655,205,31
389,other,25197,42198,993,649,1082,0.119306383,0.512796443,48,196,4,30,120.17,91,25
390,other,5933,7942,311,1304,84,0.304712186,0.517316701,27,158,42,1,106.32,179,6
393,other,1520,1232,451,3005,33,0.176551998,0.533370142,42,192,8,0,109.065,100,44
394,other,9549,46481,753,596,874,0.227498605,0.502219369,180,101,99,4,141.29,211,14
395,other,8531,185376,123781,127,237,0.250471861,0.583617845,0,192,8,1,57.155,200,8
396,other,21040,131510,148,8366,3277,0.083789346,0.401795638,141,139,61,3,137.16,271,6
397,other,25167,5895,1398,7977,229,0.105505645,0.495006578,134,167,33,24,78.135,122,16
398,normal,652,3599,519,61,36,0.146213835,0.470196476,54,95,105,58,153.47,223,9
400,other,44548,8697,3285,53768,75,0.10935896,0.522217085,0,70,130,1,67.455,19,48
405,hateful,2450,2745,275,5007,11,0.042396251,0.460717289,24,139,51,48,109.8210526,150,27
406,other,3452,39986,1517,88,245,-0.027167676,0.533276597,1,150,0,5,57.14666667,44,40
409,other,15926,569,458,4747,0,0.060555469,0.627253045,1,158,42,9,41.9,44,49
412,other,28611,1166015,537,2370,8325,0.186541314,0.470063545,249,142,58,0,129.87,239,14
414,other,37687,22726,2443,5259,463,0.112551334,0.536374335,102,91,109,18,141.34,204,129
420,other,15626,2610,1999,5169,120,0.151462482,0.469363853,143,125,75,19,144.9,198,9
421,other,115883,83031,831,76701,490,0.215260564,0.592877702,27,128,72,14,88.34,137,35
424,other,7145,11250,11,0,102,0,0,0,200,0,0,35.19,200,14
425,other,271,409,427,2341,1,0.267100694,0.600347222,8,199,1,0,78.38,16,3
426,normal,3354,329,339,694,4,0.132590692,0.476684665,70,125,75,0,59.925,111,10
427,other,1054,2554,585,1916,5,0.325102434,0.569558234,452,41,159,4,124.26,294,6
433,other,1351,279,252,774,6,0.074250808,0.400272961,313,32,168,9,148.715,213,10
435,other,2653,387428,165,647,477,0.116814753,0.431737994,113,157,43,25,143.53,300,5
437,other,21859,9499,455,74,159,0.172641509,0.211320755,11,200,0,0,133.08,0,2
439,normal,6273,822,196,1856,10,0.088749317,0.535581503,6,163,35,27,94.68686869,62,45
448,other,355,637,1528,697,3,0.212944741,0.545598623,506,150,50,13,130.02,285,3
455,other,16416,7157,934,14593,14,0.083138389,0.610809032,2,192,8,47,66.415,84,36
458,other,7257,8803,786,35729,191,0.097140131,0.519153279,0,63,137,1,88.44,24,19
474,other,3735,5493,204,5821,24,0.183590185,0.460131279,146,97,103,17,129.305,193,12
481,other,39835,176630,2450,1406,2971,0.093420757,0.502382353,29,133,67,49,153.695,222,22
484,other,17022,1983,1843,3688,2,0.239970492,0.595873525,13,75,125,19,59.77,72,15
490,other,12647,104797,1036,229,1156,0.11806329,0.42412757,139,103,97,0,138.325,245,6
493,other,48190,1170945,93,1614,4891,0.201908047,0.449211204,227,187,13,1,128.94,162,13
494,other,4094,203368,437,24656,1813,0.118201424,0.580610628,1,192,8,6,75.415,34,29
502,other,7445,9773,243,22466,289,0.039568141,0.472040273,69,171,29,44,139.465,124,18
504,other,690,1824,1359,878,116,0.203874868,0.501592873,82,101,99,2,110.86,120,9
507,other,7140,12599,233,7069,250,0.037243112,0.207779315,20,186,14,0,118.145,201,15
509,other,26211,1980,390,43069,21,0.12321398,0.598883279,4,176,24,11,73.19,45,53
510,other,7339,8230,2501,7366,120,0.36667055,0.538951549,198,77,123,14,138.535,203,30
511,other,52059,190811,17339,207,448,0.136076567,0.55027035,27,87,113,35,69.45,172,19
512,other,14258,6600,139,922,106,0.056521675,0.491194163,5,196,4,3,123.825,104,25
518,normal,209255,1694,1300,12882,27,0.067846287,0.504311218,11,67,133,38,94.185,172,27
519,other,8626,771563,31525,16043,1147,0.050481447,0.591129393,4,170,29,15,79.09547739,101,46
522,other,30831,34142,1035,41514,196,0.305152554,0.597753176,29,184,16,32,125.355,123,11
528,hateful,115806,4897,4990,90041,126,0.045241291,0.472676641,45,82,118,0,118.07,76,20
532,other,15769,8588,802,1221,114,0.067548094,0.390763933,45,108,92,14,115.11,182,20
535,other,69832,4920,261,1359,148,0.067190732,0.443178417,9,117,83,28,126.87,125,17
536,other,12450,22915,176,16742,53,0.23755176,0.501399868,37,190,10,9,64.345,81,5
542,normal,2369,267,918,289,0,0.207117139,0.502242238,157,160,40,0,78.81,115,13
543,other,9360,4006,868,3758,237,0.059836929,0.527121826,19,83,117,9,114.415,169,24
545,normal,365,498,375,206,28,0.024522413,0.469786692,155,188,12,23,134.375,274,25
547,normal,9434,4595,998,2904,181,0.13524213,0.43176515,201,100,99,6,138.4673367,174,20
548,other,7708,11532,2145,1262,467,0.068286574,0.434419611,13,179,20,6,110.1105528,102,10
550,other,3941,773,819,1784,5,0.087425757,0.517050372,9,187,13,22,99.17,98,21
552,other,150307,14081,413,10843,133,0.160193579,0.597604783,13,147,53,29,61.435,124,36
555,other,1115,47972,48689,210,204,0.015549996,0.543194944,214,200,0,14,161.49,138,11
556,other,73250,1690,238,3335,28,0.098574065,0.515092731,19,123,77,18,71.455,98,21
563,other,11513,2050,924,8964,84,0.12856231,0.47351757,100,130,70,40,149.925,231,24
564,other,15188,161730,515,13884,2188,0.124877235,0.469468869,42,139,61,33,134.475,148,14
567,normal,79311,26916,461,9521,247,0.106474505,0.405716286,14,183,17,8,85.855,48,46
569,other,158848,1462,464,2847,55,0.075082589,0.508935034,12,117,83,34,83.355,104,18
570,other,70377,1499,4160,97344,172,0.064784413,0.465688395,59,56,144,17,116.37,165,33
571,other,2452,181365,188,17,306,0.092591818,0.55110253,17,200,0,0,73.135,199,10
572,hateful,3188,348,554,879,2,0.040062635,0.468244532,27,107,92,22,93.84422111,141,37
580,normal,2113,3413,1952,424,45,0.274746326,0.45893018,91,137,63,4,121.765,265,20
581,other,9643,756,574,4635,1,0.166642792,0.417801771,27,94,106,30,121.66,161,30
582,other,32259,10868,581,892,478,0.034963257,0.438417241,27,155,45,8,99.695,68,13
583,normal,49518,1667,1331,26758,7,0.118952616,0.548996959,8,80,120,26,90.22,135,50
586,other,11734,2103550,290,35,9720,0.109090359,0.490049866,58,51,147,12,116.3636364,173,24
588,normal,84357,18618,9434,10482,916,0.247528353,0.535774338,460,5,195,0,140.415,355,8
590,other,6979,111627,419,601,467,0.174988817,0.482727877,12,194,6,1,115.635,199,5
593,other,11259,11942,1206,1082,362,0.068493328,0.473684991,15,105,95,14,129.045,201,18
594,other,14266,12732,1456,15514,127,0.283664851,0.518214614,86,188,12,8,123.095,235,22
595,normal,32340,2085,2892,11087,22,0.087058605,0.519505059,62,142,58,25,85.705,197,11
604,other,13685,694,648,11114,2,0.135585215,0.592859986,6,108,92,29,63.415,100,25
608,other,6853,2363,598,1825,40,0.077474158,0.447332956,70,75,125,28,126.63,198,18
612,other,10897,2300,3166,6871,2,0.208051948,0.466488095,40,54,146,10,119.7,108,3
613,other,29580,8458,147,88446,247,0.035062524,0.502125275,11,160,40,22,77.005,81,27
615,normal,3804,3657,2047,2344,114,0.141248846,0.504456999,176,48,152,3,108.6,234,8
616,other,15485,21616,2936,7819,102,0.097993797,0.45072925,56,160,40,10,97.97,223,15
623,other,7850,3335,1001,892,122,0.088359668,0.514017388,55,111,89,59,130.15,216,22
624,other,92233,32630,6210,78704,246,0.118366581,0.506658831,237,9,191,0,131.08,191,28
625,other,6976,21979,2476,910,883,0.073697644,0.416500312,9,133,67,3,118.925,175,20
628,other,53285,748970,1392,8522,280,0.054790583,0.519942481,5,189,11,32,71.38,94,25
633,normal,568,531,2465,1961,16,0.084668749,0.452443262,322,91,109,20,151.415,238,27
636,other,10066,180086,11337,1818,681,0.063632984,0.574009285,5,191,8,1,76.79899497,85,44
642,other,11263,165750,593,21516,129,0.220997966,0.602119695,11,145,55,77,100.665,186,37
643,other,17599,85925,1553,4361,2034,0.067962365,0.439833322,19,182,18,0,127.455,393,35
645,normal,9449,3302,885,6576,124,0.13896488,0.486908823,141,130,70,26,134.095,233,4
652,other,123812,27792,992,9403,453,0.232074381,0.548212115,11,164,36,39,82.54,114,15
653,normal,42405,824,674,23907,6,0.078499599,0.523683327,12,55,144,23,82.09547739,185,43
655,other,116271,120203,478,3768,1529,0.080896563,0.407672013,180,58,142,0,135.065,270,35
656,other,9911,724324,105,200,1838,-0.01624675,0.344223252,384,191,9,2,112.2,183,9
665,other,25241,481284,9,35709,998,0.097397399,0.598373304,0,197,3,1,63.785,9,57
666,other,90156,9317,1677,13473,115,0.173814886,0.531735307,107,193,1,143.43,123,6,226
672,normal,73868,16168,5772,7116,312,0.224498708,0.540389822,215,193,7,14,111.76,201,9
673,normal,9557,183436,445,492,716,0.094113366,0.503744769,34,75,124,31,126.5527638,87,24
674,other,6327,1496,1602,6661,11,0.062010823,0.53751852,0,5,195,0,71.085,1,44
676,other,17474,54610,1553,3075,2524,0.15996651,0.507848407,140,125,75,12,152.43,250,9
679,other,50816,1068238,1191,11494,6948,0.069516514,0.584532833,13,178,22,11,108.715,154,24
680,other,26351,155972,2334,6071,2133,0.136172756,0.534567047,7,162,38,32,123.595,113,18
682,other,640925,5750,2236,8774,123,0.157858069,0.598377563,5,158,42,59,68.99,117,49
684,other,15443,93604,577,2922,1058,0.092267346,0.380249623,170,177,23,0,150.215,343,11
687,other,115852,43177,443,27760,225,0.066060384,0.496213439,18,129,71,23,106.175,99,30
688,other,40686,6253,1744,49083,208,0.061969887,0.495835159,27,143,57,39,110.17,143,49
690,other,3675,5509,0,89,155,0.147113882,0.372346222,4,197,3,1,111.83,207,25
692,other,21980,126215,961,1949,626,0.278713824,0.610883661,35,169,31,9,102.165,80,17
693,other,343,35264,32664,44,339,0.050315315,0.541854439,0,177,0,0,93.61581921,0,40
694,other,5260,2029,1712,7733,51,0.176613541,0.487064479,48,110,89,16,133.4673367,217,13
698,other,23557,14460,544,3978,936,0.027732283,0.367576498,0,189,11,2,106.71,35,11
702,other,282,315,171,12307,5,0.133842864,0.534710229,2,194,6,0,76.2,11,12
709,normal,2741,2981064,14885,1102,15668,0.199646485,0.497361163,137,113,87,14,127.885,341,4
711,other,3449,2535,727,1315,100,0.082769548,0.483506551,36,149,51,35,148.27,200,27
712,other,6216,2529,1217,23298,54,0.153684392,0.530785687,3,189,11,5,84.39,29,24
714,other,145702,20321,4262,15791,1889,0.253433602,0.515941093,464,2,198,0,138.23,352,4
718,hateful,8715,1681,430,17080,11,0.07120299,0.552134175,35,140,59,18,86.30150754,95,14
722,other,284074,21346,185,150934,270,0.100265409,0.573755949,10,86,114,3,60.9,121,18
725,other,6340,3727,480,3503,85,0.131662196,0.510202762,66,144,56,24,134.49,114,55
728,other,59704,5153524,197,17,50066,0.059534481,0.516747675,5,200,0,0,102.92,214,3
729,other,19421,17794,2542,15340,303,0.096549445,0.596961646,7,188,12,10,93.795,46,29
730,other,27490,59716,745,704,650,0.114930625,0.483295316,12,167,33,1,96.755,199,4
731,other,12025,7342,597,51411,129,0.114959224,0.579926469,2,72,128,4,97.895,28,32
736,other,33957,8994,821,18924,244,0.038430675,0.523951202,7,165,34,7,96.60301508,90,16
737,other,9319,6199,2733,10446,46,0.092017081,0.51434773,95,119,80,1,120.9296482,141,75
741,other,60404,6362,1961,7192,242,0.057512953,0.508261652,37,180,20,51,105.63,138,25
744,other,258,61083,63,8,992,0.266422506,0.443684479,153,166,34,3,139.6,180,9
748,other,95103,6826,796,29556,124,0.257148925,0.557564961,15,139,61,12,106.545,135,40
752,other,67406,430,175,26579,25,0.055673197,0.537002037,17,130,69,46,68.93969849,160,31
754,other,2829,130351,91681,21455,922,0.065160259,0.500314097,6,199,1,82,100.25,167,12
755,other,747,1676,28,110,6,0.681562819,0.842059969,208,166,34,1,98.785,213,4
759,other,15004,1800,470,43214,18,0.08879889,0.521779406,12,135,65,7,80.575,65,42
761,other,8368,22174,1635,17226,227,0.155884802,0.533517896,34,178,22,69,123.835,162,17
762,other,91395,2733,672,23718,13,0.256009606,0.557620211,4,173,27,44,55.425,94,15
763,other,35892,25113,1890,4859,456,0.119816662,0.492852132,23,156,44,17,106.695,93,17
766,other,16354,534440,1417,1615,1318,0.061085996,0.342643661,320,158,42,8,99.145,183,8
770,other,27739,5271,262,31070,57,0.039291989,0.495392754,5,170,30,36,116.02,90,28
774,other,168325,16390,15962,96969,146,0.094580307,0.582122231,13,199,1,1,65.815,41,35
779,other,124316,39991,5786,74791,610,0.104918087,0.5081503,78,134,66,71,139.575,234,52
783,other,7557,31598,722,19858,298,0.166158117,0.53699662,36,180,20,40,109.285,85,8
787,normal,616,123,125,1163,17,0.129569854,0.510547343,96,169,30,12,107.4572864,102,23
792,other,184,208181,168,3,1088,0.129347042,0.453630493,71,182,2,8,151.6467391,201,17
794,other,9771,72835,79,0,1439,0.051551335,0.404605453,365,198,2,0,139.82,114,12
799,other,14438,864,390,18846,5,0.028184859,0.585241289,6,168,32,19,62.01,74,54
800,other,2213,667,964,3206,18,0.062250455,0.448443922,31,139,61,14,129.355,143,26
801,normal,2933,2544,1686,584,26,,,,,,,,,
809,other,17987,13271,2030,38480,252,0.112204323,0.582815286,9,155,45,2,94.685,64,10
811,other,2054,383,1043,5378,9,0.091325941,0.486429695,11,111,88,12,113.5929648,122,38
814,other,29935,287943,3381,35580,454,0.212793647,0.515420264,67,81,118,22,83.7839196,172,26
815,normal,1539,952,1377,2397,71,0.095572645,0.488625555,125,58,142,32,149.99,242,13
816,other,30727,2355029,18195,499,11619,0.181089859,0.562481204,56,168,32,68,104.88,186,19
822,other,83973,233353,1195,20378,2390,0.093535969,0.467293699,59,181,19,1,116.445,376,11
823,other,16,22679,33,34,76,0.19202381,0.570079365,12,14,2,1,120,18,4
827,other,23147,4649,441,6197,34,0.176673387,0.491892065,51,98,102,32,116.07,150,17
830,other,99723,12172,9724,23624,75,-0.004996148,0.407520943,40,187,13,0,105.185,198,4
