source,target
86031,75954
86031,4391
86031,64663
86031,12911
86031,13084
93960,6180
93960,56627
93960,90342
93960,23314
93960,23990
93960,33519
93960,12901
93960,22348
93960,73419
83525,18855
83525,18830
83525,97466
83525,59641
83525,37629
83525,23450
83525,4259
83525,49481
83525,52583
83525,61764
83525,49229
83525,17517
83525,68111
83525,52465
83525,38909
83525,41897
83525,6363
83525,15402
83525,3406
83525,100362
83525,46334
2584,10900
393,90039
30226,33075
30226,81848
30226,56770
30226,53289
30226,27622
30226,90342
30226,41957
30226,8737
59792,38365
59792,85114
73655,38426
73655,73463
26525,48302
26525,65390
3915,21369
3915,11171
3915,48574
3915,44693
3915,76590
3915,81612
46926,100312
27314,22723
27314,90342
21442,57551
99174,18834
39086,15961
32812,69914
32812,82829
80730,63195
4823,38381
86268,39250
86268,29904
86268,39104
86268,33681
74685,92846
11494,97287
10139,33906
75468,76101
75468,99875
75468,40976
75468,58701
9924,21474
46251,72789
83560,86503
17129,74646
17129,75807
17129,44419
17129,89644
17129,98246
17129,99638
17129,49630
17129,85773
17129,11042
17129,25359
17129,69769
17129,10881
17129,29904
17129,52573
17129,15252
17129,14179
17129,72944
17129,66573
84401,34797
84401,37007
84401,92125
84401,53381
84401,56042
84401,12131
84401,29222
84401,44179
30988,68098
30988,27677
30988,50834
55128,93875
55128,5718
45761,39802
45761,87301
32242,73140
43349,12035
43349,1108
4071,18911
70578,94916
70578,53147
34710,53465
34710,60231
34710,16087
34710,22394
34710,62312
34710,33261
34710,53215
34710,13894
34710,7364
66446,12782
7057,63418
7057,21681
7057,59477
49728,7530
90085,1782
90085,32222
90085,44130
90085,41583
90085,48836
90085,18008
90085,58401
90085,84234
90085,98078
90085,25810
30562,34094
30562,67604
9289,39598
26441,52494
69639,55564
69639,88477
69639,60448
98746,90746
25658,41583
25658,45162
25658,79244
25658,52533
25658,35468
25658,48836
51207,59210
51207,89045
51207,14826
54627,90970
58025,75626
58025,97695
23116,66857
23116,69720
23116,39538
23116,57864
23116,78401
23116,95561
23116,30856
23116,95466
87506,81777
80704,53225
80704,67471
33286,74428
33286,28573
85513,36004
85513,43273
22114,69570
22114,96931
22114,32460
22114,34682
76337,92816
674,11695
674,83239
34036,64509
34213,95125
100350,34756
81623,11442
27586,49160
27586,83825
84725,38909
84725,71344
84725,72144
75681,68161
75681,22958
75411,41226
13107,4419
39376,89188
39376,41583
665,7438
665,16487
665,91450
665,29559
665,64562
665,79458
665,29271
665,73139
665,36778
27122,17794
27122,95807
48627,18916
48627,32666
48627,84952
48627,65739
48627,48646
48627,14377
94937,90267
94937,19611
94937,12055
94937,94701
94937,46422
94937,78247
94937,21858
94937,56688
94937,28442
94937,75208
94937,7932
94937,34182
11624,19318
11624,91666
7176,93927
7176,60140
7176,91029
7176,63117
44111,27109
53188,80693
53188,57412
53188,84192
53188,4007
43370,77878
43370,24828
43370,61502
27012,1251
27012,20050
27012,77413
75523,46288
75523,84192
75523,10358
75523,16452
47969,53108
16913,45061
77236,84266
77236,74532
59232,69994
11849,95378
68368,33629
68368,1826
68368,14726
68368,142
68368,36252
68368,96490
68368,6771
68368,92043
68368,66054
68368,43438
68368,4492
68368,21089
68368,23314
68368,46646
68368,45580
68368,21858
68368,25169
68368,71224
68368,75954
68368,81723
68368,23450
68368,71744
68368,95194
68368,24275
68368,15284
68368,33519
68368,21673
68368,4007
68368,79520
68368,13966
62082,68130
62082,65150
62082,24732
1162,80010
40371,38486
40371,46084
40371,588
68613,542
91513,86795
5594,75967
58503,62981
58503,39871
58503,56684
58503,72555
58503,27864
58503,572
58503,85424
58503,63076
58503,80244
58503,28749
58503,51558
58503,61735
58503,12269
58503,13966
49631,58401
7409,58400
40426,11692
40426,88964
40426,42590
83044,74328
25494,518
25494,51832
25494,6222
25494,90486
25494,95518
25494,12162
25494,14489
25494,92917
25494,14167
25494,42492
25494,78014
58801,19737
58801,99362
58801,44400
58801,49837
58801,95471
99418,119
89928,33856
89928,36485
72408,87787
61961,84396
61961,57580
6230,46504
6230,9910
6230,73139
73163,80693
73163,11858
73163,59380
73163,81921
51573,97137
23652,72973
23652,36485
23652,89550
23652,83659
23652,73230
52531,68005
54153,27169
54153,62006
54153,71117
54153,46456
54153,13938
54153,84958
54153,27640
54153,27500
54153,77645
54153,9941
14503,87745
53028,89199
53028,80299
53028,76072
53028,93595
53028,95554
53028,41891
3127,2677
3127,2038
3127,30353
3127,44648
3127,57153
3127,88292
3127,14726
3127,55343
3127,34322
3127,40988
3127,9162
3127,43217
3127,44343
3127,7932
3127,8981
3127,81000
3127,90467
3127,69570
3127,71653
3127,74057
3127,17517
3127,30256
3127,18437
93770,58049
79094,65449
3325,34521
3325,3994
68204,47554
60197,33340
60197,24458
72186,69001
98708,32216
12511,87138
34444,63549
34444,2949
34444,40024
34444,13868
40566,28878
40566,63698
60641,48723
60641,98246
66814,2677
90358,2677
90358,74867
90358,74195
90358,18774
90358,57153
90358,63117
90358,15578
90358,93291
90358,60081
90358,43438
90358,7277
90358,17380
90358,76125
90358,13966
61531,76181
61531,56306
82557,100085
82557,49111
20367,36982
7088,26647
7088,74176
11907,94420
67304,2500
67304,51856
71389,75967
71389,32023
29073,94701
29073,22611
29073,8897
29073,56688
29073,23525
29073,92723
77418,50000
77418,11695
77418,58937
72104,75926
72104,36886
72104,10800
72104,51268
72104,4761
57678,29020
57678,82672
57678,45938
64668,54143
64668,52355
64668,27979
31550,98156
31550,53477
31550,38543
31550,91309
31550,91260
31550,5642
31550,59641
31550,68650
14379,90343
14379,16966
14379,92688
83,55791
83,97794
52659,66654
52659,12947
52659,27804
52659,40976
52659,40820
52659,36272
11429,39492
29779,91472
29779,3348
1479,7165
97943,3379
93334,29020
93334,42767
93334,90127
93334,45984
93334,58208
93334,43220
93334,21351
93334,72905
93334,7165
93334,69966
88820,84260
54662,32667
54662,51011
54662,83145
54662,33948
54662,69676
54662,13885
54662,19639
61605,58457
42347,61777
42347,73419
69595,75282
69595,51794
69595,65473
69595,8116
58409,63117
6947,52712
6947,8538
6947,119
6947,17380
6947,14726
6947,58457
6947,23890
6947,93937
6947,9546
6947,99211
6947,67845
38585,81030
1977,25170
38603,73140
38603,12269
38603,31594
83395,73579
26829,65523
96695,34679
90458,2500
90458,51856
90458,588
54811,95518
54811,6784
54811,56548
37748,76092
79785,65110
24995,42823
24995,74235
33144,87326
33144,87173
67955,20343
28480,4322
28480,89043
28480,94861
28480,11372
27928,18048
86732,66740
86732,83135
28891,56760
3539,87709
77412,94916
77412,47110
77412,76973
77412,26443
77412,63228
77412,88114
77412,20482
77412,58825
77412,16452
33229,33340
45596,17311
45596,26841
45596,63661
45596,56245
45596,12221
45596,11846
45596,91666
75716,43537
75716,49444
75716,96465
75716,59380
75716,28537
75716,583
75716,83396
75716,12794
75716,85035
75716,93291
75716,9546
75716,40988
75716,26561
75716,58932
75716,4492
75716,29063
75716,84954
75716,29897
75716,53180
75716,42652
75716,69074
75716,91029
75716,46334
86734,4259
86734,29904
86734,27854
86734,75807
86734,72944
72605,91490
77685,4983
35072,55461
35072,5946
93004,40363
93004,32586
93004,84824
93004,95078
93004,46504
93004,56688
93004,75439
93004,13084
93004,72617
93004,61502
93004,42699
93004,47168
42125,61547
13441,98083
13441,79854
64499,2458
64499,100155
64499,37880
64499,87067
64499,41352
15630,49637
15630,98832
21828,94572
21828,8857
21828,22982
86227,36979
86227,5848
86227,17950
86227,77834
86227,44343
86227,10655
86227,14726
86227,96465
86227,1943
86227,5345
59625,81777
59625,91446
59625,57221
70253,80439
70253,84824
70253,33102
70253,74367
70253,22382
70253,27622
70253,49216
70253,95210
70253,46288
70253,24359
70253,11111
70253,49481
70253,14498
70253,23699
70253,60481
70253,23864
70253,46334
39857,53648
39857,31556
55457,79944
73606,67869
49457,23383
49457,60068
99912,90917
99912,44666
50012,51832
50012,46422
50012,92092
50012,13868
50012,21609
50012,87721
50012,60361
50012,57412
50012,63228
50012,64663
50012,26561
50012,10721
50012,61502
48642,8023
19861,93548
1988,85835
1988,91878
1988,17482
1988,77622
1988,1075
1988,90344
1988,41383
1988,67260
1988,66544
1988,86790
1988,3493
1988,44198
1988,88929
1988,81932
96984,39762
96984,32129
96984,75709
96984,98912
6476,45313
6476,81735
85480,66927
15825,49967
15825,50361
29950,16087
29950,69497
29950,21263
63617,77834
63617,20840
63617,1943
63617,12794
63617,12268
63617,42652
63617,14205
40456,12819
40456,580
93269,25404
93269,76713
93269,74718
93269,37658
49722,4916
78741,51856
39102,73192
39102,61777
59783,33244
83933,87776
83933,58575
83933,63246
83933,90391
7667,92812
79890,71027
33738,55343
33738,20482
33738,73496
33738,79520
11875,54519
11875,98433
11875,3348
11875,84660
11875,55014
7214,96265
7214,12268
27792,58583
27792,48634
42898,43242
49675,24494
49675,8650
49675,63698
72230,60081
72230,37615
16986,28267
16986,1228
16986,87292
16986,98078
44580,33629
44580,53147
60704,85192
60704,6262
72197,7045
72197,52501
72197,86054
72197,22103
44712,85840
11226,23201
78168,12269
48326,52494
4639,44633
61878,82283
61878,63802
61878,44413
61878,70351
61878,52541
61878,40464
61878,86837
61878,92122
16564,11062
16564,59885
16564,99938
16564,61713
16564,56004
16564,50714
16564,92781
16564,35738
16564,38638
16564,62670
16564,34494
31698,70518
31698,89295
31698,14486
31698,82260
31698,91077
31698,95268
31698,18916
31698,55041
31698,8480
31698,19816
31698,23528
31698,34681
31698,99095
31698,55185
31698,71790
31698,14377
31698,65316
31698,54827
2851,5597
60005,64395
60005,37880
50406,63659
32684,19087
32684,63076
32684,74472
85780,56855
2981,65105
2981,48482
2981,52040
2981,95056
2981,20046
2981,3493
2981,44450
1633,22638
1633,63698
1633,83136
1633,67604
1633,70318
72568,24930
72568,98182
72568,52736
72568,29227
72568,32517
68336,30587
62353,67797
62353,32335
62353,33955
62353,38917
94928,86760
95300,87802
59012,69991
59012,5064
59012,35738
59012,7314
59012,64329
59012,65712
59012,30432
84651,52820
84651,26326
84651,54269
4568,36996
84896,66857
84896,8344
84896,26094
65835,22382
15167,80439
15167,26932
15167,74532
15167,78247
15167,48707
15167,27804
15167,57551
15167,49358
15167,35101
15167,22723
15167,46875
15167,64562
15167,42955
15167,51507
15167,16259
15167,56682
39900,49834
78466,55245
78466,34096
78466,22197
78466,54269
24909,29055
24909,44243
24909,62646
9639,4761
9639,73958
9639,59885
9639,25322
17434,46875
17434,3716
3341,74367
18737,11512
18737,52194
77717,54295
77717,89598
94496,62006
51342,6190
55940,57292
55940,20977
55940,7797
55940,81838
55940,48482
55940,45984
23790,11903
23790,18504
61759,38498
69528,43220
69528,38405
69528,58457
68530,23537
50117,5946
78085,75814
78085,43604
90016,50833
87004,65683
64232,39202
16622,84381
16622,96738
16622,13446
16622,81723
16622,58932
16622,83396
100170,22147
9142,53825
9142,11042
9142,28971
9142,55486
9142,40085
9142,33857
9142,81540
9142,49630
9142,76828
9142,49967
9142,74646
9142,28138
9142,97309
9142,8557
9142,95518
9142,88368
9142,95118
9142,56306
9142,61015
9142,31052
9142,66954
9142,44179
9142,38008
89837,89869
89837,50938
29937,16259
29937,74718
29937,96738
29937,22723
29937,93258
33867,73140
6572,50318
67354,5069
7104,58560
62854,37423
50214,79244
50214,96656
42400,74101
93205,27598
93205,66740
91583,98612
48948,40237
48948,4832
48948,71488
12098,82500
63655,15863
57359,59591
57359,68979
57359,96187
57359,54741
57359,93102
57359,66054
57359,28172
67202,77638
31592,61993
31592,89377
31592,82829
7054,36404
33833,9476
71286,38426
71286,13852
71286,39211
71286,33476
30631,69889
30631,37196
30631,61094
30631,10475
30631,35738
30631,36996
30631,89598
30631,39602
37542,66130
42419,89043
23070,39787
32760,17633
62261,4135
62261,82845
73374,28303
73374,12507
73374,653
73374,4492
73374,61777
73374,85132
73374,24706
73374,90467
73374,29063
73374,16788
73374,74718
73374,43438
73374,40988
73374,19830
73374,12571
73374,42652
73374,17320
73374,22941
73374,81080
73374,99365
73374,85001
73374,48246
73374,27528
73374,18548
73374,51832
73374,68979
73374,24275
73374,92281
73374,93390
73374,55456
73374,85035
73374,35304
73374,35013
73374,94916
73374,71744
73374,36033
73374,90234
73374,8981
73374,95038
73374,74057
73374,18437
73374,20017
73374,2677
73374,5848
73374,1826
73374,80010
73374,1751
73374,27851
73374,22723
73374,13868
73374,76125
73374,84381
73374,24930
73374,84954
73374,56802
73374,75643
73374,11111
73374,15879
73374,26561
73374,38769
73374,43588
73374,28629
73374,19087
73374,63659
73374,56682
73374,83331
73374,10991
73374,51507
73374,71224
73374,63228
73374,87252
73374,23450
73374,62190
73374,93258
73374,33192
73374,61502
73374,28621
73374,518
98221,99415
98221,3014
98221,67604
98221,36955
51836,8715
78242,68503
74540,52573
121,85001
121,4492
121,19873
121,4965
121,16259
121,16354
121,19590
121,62190
121,3994
121,78094
121,75208
121,64562
25882,6519
25882,40758
25882,36403
19449,89866
11441,68548
8668,75268
6848,25891
6848,28878
44136,51174
64555,52820
64555,62132
64555,60449
64555,84730
64555,94464
64555,8480
64555,23528
64555,31833
64555,18175
64555,23540
64555,99095
64555,15207
64555,71790
64555,65316
64555,54024
64555,14486
64555,82260
64555,22228
64555,77652
64555,10872
64555,18916
64555,91865
64555,19816
64555,84952
64555,48774
64555,55185
64555,34681
64555,81057
64555,15530
64555,33703
64555,63824
64555,72622
64555,35795
64555,98914
64555,76230
94357,87091
11652,69676
11652,78147
11652,76077
11652,51011
11652,81613
19626,83624
19626,13853
19626,20300
19626,16966
19626,14327
62101,63491
97364,44400
26765,58215
26765,6649
93742,77428
93742,23705
281,50983
281,18184
281,10811
281,14205
281,80532
98560,47427
32250,52621
74266,1251
52051,65739
47921,9228
47921,56398
10788,59825
20417,13938
5346,50546
5346,99708
27944,55245
27944,25322
27944,75926
27944,43122
27944,12055
27944,51832
27944,8715
61980,26188
61980,73233
61980,50499
61980,75439
86742,45093
86742,28971
99102,69914
99102,47702
36959,43861
36959,99938
36959,17491
55130,2516
46357,98621
940,94038
940,52736
940,6180
940,85103
940,12571
940,97639
85786,97137
11655,78240
11655,61713
11655,62216
11655,56257
11655,93282
11655,34521
11655,9987
11655,87776
64824,66304
64824,28295
64824,36568
24622,93266
24622,20789
24622,90344
24622,99912
4483,29904
4483,62593
18069,26544
18069,16650
83480,55021
83480,72944
76144,94916
269,29844
269,3198
269,21437
52882,8307
52882,53200
52882,9105
52882,59668
52882,91309
52882,21437
52882,58671
44988,48171
26000,44429
47814,47363
21495,35941
34821,11693
94287,5848
94287,12507
94287,52890
94287,14726
94287,73419
94287,22551
94287,17798
94287,52324
94287,40988
94287,22611
94287,42652
94287,74031
94287,42983
94287,36403
94287,24275
94287,64479
94287,85035
94287,35941
94287,57153
94287,81723
94287,8981
94287,43417
94287,82158
94287,74057
94287,42609
94287,96634
94287,7598
94287,17338
94287,70945
94287,65407
94287,13966
94287,30120
33776,69210
33776,17951
34438,48679
50807,15787
2767,3090
89603,57096
89603,53499
11822,64781
27916,84521
27916,17491
30632,96768
67414,67217
67414,71420
91328,91666
91328,3994
91328,35738
91328,4256
91328,22724
91328,68111
91328,81627
91328,63246
91328,73699
91328,39105
91328,20527
91328,64781
71818,63492
71818,74311
71818,67152
71818,78410
71818,79324
71818,43488
71818,65867
71818,44752
71818,97091
71818,34633
71818,61745
71818,49834
71818,22394
71818,23349
71818,56408
71818,26154
71818,17520
71818,33261
71818,69643
71818,88443
71818,41783
71818,38938
71818,77739
71818,29207
8662,39265
8662,572
97202,98341
52469,4259
52469,2607
52469,91666
52469,51953
34649,17854
34649,4135
34649,68504
91342,21673
1714,8188
51558,97339
35452,7834
35452,83036
35452,45255
24688,65003
24688,90796
24688,97829
24688,79650
24688,32920
24688,65729
24688,32852
24688,54446
24688,61993
63987,50662
57641,60112
57641,25810
57641,70455
78743,39325
83460,98612
83460,40039
83460,4256
83460,68111
83460,20050
35383,12055
35383,84824
18983,73516
18983,44648
18983,81723
18983,7639
18983,40639
18983,26561
18983,5848
18983,43221
36869,34682
36869,74867
36869,8981
36869,79684
36869,63057
36869,90234
36869,65789
36513,52040
36513,25359
36513,83135
6819,85035
6819,91410
6819,36272
6819,47110
75268,5835
75268,8307
75268,8668
75268,89202
75268,69409
75268,18337
12430,79854
18632,18767
18632,21617
79685,43537
79685,78717
79685,37826
79685,19436
79685,14501
79685,1826
79685,24706
79685,99304
79685,30552
79685,94916
79685,79591
79685,50983
79685,64509
79685,54741
79685,90247
79685,62281
79685,39994
79685,8981
79685,96490
79685,1943
79685,12268
79685,66054
79685,30120
42272,98182
42272,72944
42272,25096
42272,83338
42272,49216
77712,645
55637,87849
55637,92775
55637,43788
55637,21437
55637,67797
55637,572
55637,68813
55637,41452
55637,16320
55637,59914
55637,75046
55637,14230
55637,65250
55637,37254
55637,49517
55637,17520
55637,99319
55637,85439
55637,78553
55637,98418
55637,38778
55637,17895
55637,89450
55637,90859
55637,34519
35288,92125
35288,38645
35288,63966
35288,38909
35288,40899
35288,12162
35288,78014
10751,31265
18363,14377
18363,84958
18363,77638
18363,79807
18363,97829
18363,178
79065,40091
81151,36376
86711,12901
70099,6024
70099,14692
70099,4965
70099,69914
70099,47841
70099,60700
70099,72987
70099,6222
70099,38554
70099,33787
70099,60560
70099,12055
70099,23864
70099,95103
70099,9770
70099,60098
70099,73585
70099,98076
70099,42955
70099,31143
70099,7438
70099,62868
70099,79520
70099,83837
70099,29633
54853,49284
59800,76100
57990,61242
27552,83589
28025,41891
2019,7235
58010,87324
58010,15578
58010,96711
58010,84053
18913,7412
18913,68098
18913,14295
58039,6193
74812,2949
74812,40024
74812,59747
98598,43350
98598,42494
98598,77506
98598,49239
98598,22915
98598,44130
98598,23255
98598,56408
98598,58583
98598,28573
98598,69643
98598,50758
98598,2827
98598,40648
98598,95139
98598,44752
98598,29207
98598,78826
98598,23468
98598,99165
51456,98182
51456,93694
45713,22147
45713,10761
70236,38638
61196,76828
61196,27622
61196,92125
61196,40626
61196,99415
61196,28971
61196,39004
61196,82692
61196,62611
61196,58401
61196,93627
61196,45622
61196,35606
61196,13717
36931,68118
36040,58643
43466,52040
1444,4965
91834,75709
69327,56004
18800,87685
59003,63743
72575,83740
72575,50890
73277,90169
73277,9307
73277,20413
70574,72127
70574,100085
68791,75439
68791,20010
68791,28176
31442,45643
72850,39508
96834,100338
96834,78230
96834,59293
31648,35212
31648,56677
31648,47552
31648,50466
31648,87498
31648,49834
31648,77599
31648,83674
31648,53215
31648,48836
31648,91747
31648,79452
31648,73277
31648,41069
31648,57527
31648,29891
31648,11818
31648,39621
31648,65854
31648,22915
31648,55390
31648,43497
31648,61058
31648,52423
31648,16320
31648,38729
31648,77524
31648,75874
31648,14177
31648,90169
31648,28573
31648,29833
31648,25210
31648,79244
31648,59825
31648,52533
31648,13561
31648,63506
31648,90505
31648,68392
47562,45973
54376,27528
54376,4492
54376,2428
54376,51268
54376,1751
54376,5071
54376,8981
54376,18437
54376,6508
54376,46575
54376,63035
54376,96711
54376,8188
54376,81723
54376,58932
54376,57451
54376,99304
54376,76727
54376,10991
95393,16487
74792,81540
74792,39492
74792,27399
74792,27864
74792,74857
74792,81709
30386,28941
29646,76973
29646,95103
29646,3406
29646,11442
29646,72987
29646,37654
29646,27707
29646,23699
47411,61015
14929,76412
14929,71647
14929,46868
79911,9866
79911,18504
79911,42159
79911,69720
79911,72425
79911,7165
79911,23865
79911,84093
50060,21499
50060,71376
50060,10411
58040,14180
83956,54404
89203,56228
78929,36081
78929,2324
94139,30179
94139,76828
94139,1400
54393,31143
10025,57233
92316,20575
53481,21499
53481,89738
53481,25976
53481,88278
53481,68012
53481,51953
53481,97829
53481,68392
30864,44972
33205,55564
33205,61533
33205,68217
33205,49952
33205,6534
33205,18722
33205,13446
33205,29058
33205,48050
33205,32338
33205,62808
33205,48158
33205,48472
33205,78387
33205,60448
33205,21474
33205,60555
33205,91644
94951,33681
8784,55791
66875,48804
32302,32413
53524,90122
53524,20851
16201,14542
16201,17320
96470,69073
3253,70847
3253,66054
3253,27622
3253,85398
74578,73664
74578,13840
74578,74867
74578,58932
74578,81921
74578,96187
339,91470
58288,96436
62288,96436
48671,43350
48671,49834
48671,22982
48671,41783
48671,50758
48671,93061
48671,43488
48671,64395
48671,45232
48671,78938
43326,55245
43326,47085
43326,88195
43326,78014
43326,25322
97255,4097
97255,73099
97255,56228
97255,15874
97255,42997
97255,39994
97255,23681
97255,67138
97255,142
97255,97965
97255,90342
97255,39399
97255,71864
97255,21170
97255,74129
97255,96246
97255,73755
97255,56904
97255,61250
97255,9482
97255,9676
97255,29063
97255,67760
97255,15561
97255,88964
97255,94691
97255,39288
97255,83893
97255,40363
97255,42955
97255,84266
97255,17326
97255,84397
97255,16937
97255,127
97255,16921
97255,59089
97255,75208
97255,11520
97255,18855
97255,32714
97255,67217
97255,70976
97255,19701
97255,12055
97255,22147
97255,15787
97255,15961
97255,4331
97255,9546
97255,23176
97255,17517
97255,11609
97255,12625
97255,24278
97255,51352
97255,23643
97255,5718
97255,9770
97255,41383
97255,73585
97255,12794
97255,94473
97255,66032
97255,27911
97255,28878
97255,28290
97255,87173
97255,28621
97255,14205
97255,28172
33806,39418
69754,33108
69754,26958
78135,53241
78135,18760
78135,34813
64721,69001
64721,32667
64721,69278
64721,91270
48269,99095
48269,49229
48269,14486
48269,31716
48269,65316
48269,35795
48269,23528
48269,97851
48269,10587
32601,50804
32601,84490
32601,77031
32601,25264
32601,69966
32143,18774
69267,36939
69267,95709
69267,43588
10145,69437
10145,51462
10145,7108
78656,71027
75004,96446
63151,100085
63151,54790
63151,83817
63151,3406
63151,19590
63151,58457
63151,62190
63151,42699
63151,81735
63151,73215
63151,72622
63151,15787
63151,9535
73591,49164
7540,73336
